function_id,function_area,function_subarea,function_desc
char_anim_swim1,character,animation,Emote definition - You go for a swim
char_anim_pat,character,animation,Emote definition - You pat the animal
char_anim_leap,character,animation,Emote definition - You leap and attack
char_anim_sweep,character,animation,Emote definition - You sweep
char_anim_pose1,character,animation,Emote definition - Pose 1
char_anim_pose2,character,animation,Emote definition - Pose 2
char_anim_dust,character,animation,Emote definition - You dust yourself off
char_anim_clap2,character,animation,Emote definition - you clap vaguely
char_anim_clap3,character,animation,Emote definition - you clap lazily
char_anim_point1,character,animation,Emote definition - You point at something
char_anim_thumbsdown1,character,animation,Emote definition - you give the thumbs down
char_anim_thumbsup1,character,animation,Emote definition - you give the thumbs up
char_anim_walk1,character,animation,Emote definition - you walk with style
char_anim_chargeup,character,animation,Emote definition - You feel yourself powering up
char_anim_cast,character,animation,Emote definition - you cast something
char_anim_bigwork,character,animation,Emote definition - Standing_Melee_Attack_Downward_mixamo_com
char_anim_battlecry,character,animation,Emote definition - Standing_Taunt_Battlecry
char_anim_tablet,character,animation,Emote definition - You read the book
char_anim_sitcraft1,character,animation,Emote definition - You sit and craft something
char_anim_sitcraft2,character,animation,Emote definition - You sit and craft something
char_anim_sitcraft3,character,animation,Emote definition - You sit and craft something
char_anim_sitcraft4,character,animation,Emote definition - You sit and craft something
char_anim_sitcraft5,character,animation,Emote definition - You sit and craft something
char_anim_sitcraft1,character,animation,Emote definition - You sit and craft something
char_anim_readbook,character,animation,Emote definition - You read the book
char_anim_phone,character,animation,Emote definition - You use your phone
char_anim_chop,character,animation,Emote definition - You chop wood
char_anim_fallsleep,character,animation,Emote definition - You fall down and sleep
char_anim_ninjadownkick,character,animation,Emote definition - You do a Ninja attack
char_anim_ninjalefthook,character,animation,Emote definition - You do a Ninja attack
char_anim_shower,character,animation,Emote definition - You have a shower
char_anim_sit_fire,character,animation,Emote definition - You sit down by the fire
char_anim_guitar,character,animation,Emote definition - You play the guitar
char_anim_eat,character,animation,Emote definition - You eat
char_anim_benchpress,character,animation,Emote definition - You bench press some weights
char_anim_bandage,character,animation,Emote definition - you bandage yourself
char_anim_choptree,character,animation,Emote definition - You chop a tree
char_anim_fish_idle,character,animation,Emote definition - You are fishing - waiting for a bite
char_anim_fish_reel,character,animation,Emote definition - You reel in the fish
char_anim_fish_cast,character,animation,Emote definition - You cast in your fishing line
char_anim_fish_bite,character,animation,Emote definition - You get a bite on your fishing line
fx_sound_music_intro,fx,sound,Music played when level starts
fx_sound_music_arrive_town,fx,sound,Music played when arriving at town
fx_sound_music_leave_town,fx,sound,Music played when leaving town
fx_sound_music_complete_level,fx,sound,Music played when level completed
env_location_player_start,env,location,Default spawn location of player when starting level
env_location_player_start,env,location,Default spawn location of player when starting level
env_location_player_start_enter_via_N,env,location,Spawn location of player when entering level from North
env_location_player_start_enter_via_S,env,location,Spawn location of player when entering level from South
env_location_player_start_enter_via_E,env,location,Spawn location of player when entering level from East
env_location_player_start_enter_via_W,env,location,Spawn location of player when entering level from West
object_tool_axe,object,tool,defines the tool that maps to the players axe
object_tool_pickaxe,object,tool,defines the tool that maps to the players pickaxe
object_tool_shovel,object,tool,defines the tool that maps to the players shovel
object_tool_hoe,object,tool,defines the tool that maps to the players hoe
object_tool_screwdriver,object,tool,defines the tool that maps to the players screwdriver
object_tool_hammer,object,tool,defines the tool that maps to the players hammer
object_tool_saw,object,tool,defines the tool that maps to the players saw
object_tool_knife,object,tool,defines the tool that maps to the players knife
object_wood_log,object,wood,defines the item (you create) that maps to a wood log
object_wood_plank,object,wood,defines the item (you create) that maps to a wood plank
object_string,object,material,defines the item (you create) that maps to string




