wb_map_id,wb_map_area,wb_map_subarea,wb_map_desc
char_anim_salute,character,animation,Emote definition - You Salute with respect
char_anim_flex,character,animation,Emote definition - You flex your muscles like a BOSS
char_anim_sit,character,animation,Emote definition - You sit down
char_anim_work,character,animation,Emote definition - You do some work at the table
char_anim_sneeze,character,animation,Emote definition - You Sneeze - Achoo!
char_anim_drink,character,animation,Emote definition - You drink..... ahhhh
char_anim_take,character,animation,Emote definition - You take stuff from the table
char_anim_talk,character,animation,Emote definition - You chat about various things
char_anim_think,character,animation,Emote definition - You have a serious think
char_anim_throw,character,animation,Emote definition - you throw something - hope it wasnt important
char_anim_wash,character,animation,Emote definition - you wash the window
char_anim_wave,character,animation,Emote definition - You wave
char_anim_clap,character,animation,Emote definition - You clap!  Well done
char_anim_booyah,character,animation,Emote definition - Boo Yah!
char_anim_gimmebreak,character,animation,Emote definition - Oh, give me a break
char_anim_death,character,animation,Emote definition - You die
char_anim_crouch,character,animation,Emote definition - You crouch down
char_anim_sleep,character,animation,Emote definition - You lay down to sleep
char_anim_fight1,character,animation,Emote definition - You Attack with Meelee weapon
char_anim_swim1,character,animation,Emote definition - You go for a swim
char_anim_pat,character,animation,Emote definition - You pat the animal
char_anim_leap,character,animation,Emote definition - You leap and attack
char_anim_sweep,character,animation,Emote definition - You sweep
char_anim_pose1,character,animation,Emote definition - Pose 1
char_anim_pose2,character,animation,Emote definition - Pose 2
char_anim_dust,character,animation,Emote definition - You dust yourself off
char_anim_clap2,character,animation,Emote definition - you clap vaguely
char_anim_clap3,character,animation,Emote definition - you clap lazily
char_anim_point1,character,animation,Emote definition - You point at something
char_anim_thumbsdown1,character,animation,Emote definition - you give the thumbs down
char_anim_thumbsup1,character,animation,Emote definition - you give the thumbs up
char_anim_walk1,character,animation,Emote definition - you walk with style
char_anim_chargeup,character,animation,Emote definition - You feel yourself powering up
char_anim_cast,character,animation,Emote definition - you cast something
char_anim_bigwork,character,animation,Emote definition - Standing_Melee_Attack_Downward_mixamo_com
char_anim_battlecry,character,animation,Emote definition - Standing_Taunt_Battlecry
char_anim_tablet,character,animation,Emote definition - You read the book
char_anim_sitcraft1,character,animation,Emote definition - You sit and craft something
char_anim_sitcraft2,character,animation,Emote definition - You sit and craft something
char_anim_sitcraft3,character,animation,Emote definition - You sit and craft something
char_anim_sitcraft4,character,animation,Emote definition - You sit and craft something
char_anim_sitcraft5,character,animation,Emote definition - You sit and craft something
char_anim_sitcraft1,character,animation,Emote definition - You sit and craft something
char_anim_readbook,character,animation,Emote definition - You read the book
char_anim_phone,character,animation,Emote definition - You use your phone
char_anim_chop,character,animation,Emote definition - You chop wood
char_anim_fallsleep,character,animation,Emote definition - You fall down and sleep
char_anim_ninjadownkick,character,animation,Emote definition - You do a Ninja attack
char_anim_ninjalefthook,character,animation,Emote definition - You do a Ninja attack
char_anim_shower,character,animation,Emote definition - You have a shower
char_anim_sit_fire,character,animation,Emote definition - You sit down by the fire
char_anim_guitar,character,animation,Emote definition - You play the guitar
char_anim_eat,character,animation,Emote definition - You eat
char_anim_benchpress,character,animation,Emote definition - You bench press some weights
char_anim_bandage,character,animation,Emote definition - you bandage yourself
char_anim_choptree,character,animation,Emote definition - You chop a tree
char_anim_fish_idle,character,animation,Emote definition - You are fishing - waiting for a bite
char_anim_fish_reel,character,animation,Emote definition - You reel in the fish
char_anim_fish_cast,character,animation,Emote definition - You cast in your fishing line
char_anim_fish_bite,character,animation,Emote definition - You get a bite on your fishing line

quest_id,quest,id,Mapping quests - quest_id
quest_ids_required,quest,id,Mapping quests - ids_required
quest_ids_unlocked,quest,id,Mapping quests - ids_unlocked
quest_is_active,quest,id,Mapping quests - is_active
quest_quest_name,quest,name,Mapping quests - quest_name
quest_desc_short,quest,desc,Mapping quests - desc_short
quest_actor_to_start,quest,char,Mapping quests - actor_to_start
quest_actor_to_end,quest,char,Mapping quests - actor_to_end
quest_items_required,quest,object,Mapping quests - items_required
quest_locations_required,quest,env,Mapping quests - locations_required
quest_text_request,quest,desc,Mapping quests - text_request
quest_text_accept,quest,desc,Mapping quests - text_accept
quest_text_complete,quest,desc,Mapping quests - text_complete
quest_days_until_repeatable,quest,quest,Mapping quests - days_until_repeatable
quest_reward_gold,quest,money,Mapping quests - reward_gold
quest_reward_items,quest,object,Mapping quests - reward_items
quest_reward_skill,quest,skill,Mapping quests - reward_skill



