"npc_id","goal","goal_weight","plan_id","plan_weight","task_id",
"Xerxes","money","1","chat","4","shopping",
"Xerxes","money","1","craft","9","cafe",
"Xerxes","money","1","craft","9","restaurant",
"Xerxes","money","1","craft","9","shopping",
"Xerxes","love","6","work","4","cafe",
"Xerxes","love","6","work","4","restaurant",
"Xerxes","love","6","work","4","shopping",
"Xerxes","love","6","friends","10","cafe",
"Xerxes","love","6","friends","10","restaurant",
"Xerxes","love","6","friends","10","shopping",
"Xerxes","love","6","chat","4","cafe",
"Xerxes","love","6","chat","4","restaurant",
"Xerxes","love","6","chat","4","shopping",
"Xerxes","love","6","craft","9","cafe",
"Xerxes","love","6","craft","9","restaurant",
"Xerxes","love","6","craft","9","shopping",
"Xerxes","fun","8","work","4","cafe",
"Xerxes","fun","8","work","4","restaurant",
"Xerxes","fun","8","work","4","shopping",
"Xerxes","fun","8","friends","10","cafe",
"Xerxes","fun","8","friends","10","restaurant",
"Xerxes","fun","8","friends","10","shopping",
"Xerxes","fun","8","chat","4","cafe",
"Xerxes","fun","8","chat","4","restaurant",
"Xerxes","fun","8","chat","4","shopping",
"Xerxes","fun","8","craft","9","cafe",
"Xerxes","fun","8","craft","9","restaurant",
"Xerxes","fun","8","craft","9","shopping",
"Xerxes","learn","3","work","4","cafe",
"Xerxes","learn","3","work","4","restaurant",
"Xerxes","learn","3","work","4","shopping",
"Xerxes","learn","3","friends","10","cafe",
"Xerxes","learn","3","friends","10","restaurant",
"Xerxes","learn","3","friends","10","shopping",
"Xerxes","learn","3","chat","4","cafe",
"Xerxes","learn","3","chat","4","restaurant",
"Xerxes","learn","3","chat","4","shopping",
"Xerxes","learn","3","craft","9","cafe",
"Xerxes","learn","3","craft","9","restaurant",
"Xerxes","learn","3","craft","9","shopping",
"Dot","money","2","craft","7","make_clothes",
"Dot","money","2","craft","7","crafting",
"Dot","money","2","craft","7","cook",
"Dot","money","2","craft","7","craft",
"Dot","money","2","charity","1","make_clothes",
"Dot","money","2","charity","1","crafting",
"Dot","money","2","charity","1","cook",
"Dot","money","2","charity","1","craft",
"Dot","money","2","friends","7","make_clothes",
"Dot","money","2","friends","7","crafting",
"Dot","money","2","friends","7","cook",
"Dot","money","2","friends","7","craft",
"Dot","money","2","craft","1","make_clothes",
"Dot","money","2","craft","1","crafting",
"Dot","money","2","craft","1","cook",
"Dot","money","2","craft","1","craft",
"Dot","love","4","craft","7","make_clothes",
"Dot","love","4","craft","7","crafting",
"Dot","love","4","craft","7","cook",
"Dot","love","4","craft","7","craft",
"Dot","love","4","charity","1","make_clothes",
"Dot","love","4","charity","1","crafting",
"Dot","love","4","charity","1","cook",
"Dot","love","4","charity","1","craft",
"Dot","love","4","friends","7","make_clothes",
"Dot","love","4","friends","7","crafting",
"Dot","love","4","friends","7","cook",
"Dot","love","4","friends","7","craft",
"Dot","love","4","craft","1","make_clothes",
"Dot","love","4","craft","1","crafting",
"Dot","love","4","craft","1","cook",
"Dot","love","4","craft","1","craft",
"Dot","fun","4","craft","7","make_clothes",
"Dot","fun","4","craft","7","crafting",
"Dot","fun","4","craft","7","cook",
"Dot","fun","4","craft","7","craft",
"Dot","fun","4","charity","1","make_clothes",
"Dot","fun","4","charity","1","crafting",
"Dot","fun","4","charity","1","cook",
"Dot","fun","4","charity","1","craft",
"Dot","fun","4","friends","7","make_clothes",
"Dot","fun","4","friends","7","crafting",
"Dot","fun","4","friends","7","cook",
"Dot","fun","4","friends","7","craft",
"Dot","fun","4","craft","1","make_clothes",
"Dot","fun","4","craft","1","crafting",
"Dot","fun","4","craft","1","cook",
"Dot","fun","4","craft","1","craft",
"Dot","learn","7","craft","7","make_clothes",
"Dot","learn","7","craft","7","crafting",
"Dot","learn","7","craft","7","cook",
"Dot","learn","7","craft","7","craft",
"Dot","learn","7","charity","1","make_clothes",
"Dot","learn","7","charity","1","crafting",
"Dot","learn","7","charity","1","cook",
"Dot","learn","7","charity","1","craft",
"Dot","learn","7","friends","7","make_clothes",
"Dot","learn","7","friends","7","crafting",
"Dot","learn","7","friends","7","cook",
"Dot","learn","7","friends","7","craft",
"Dot","learn","7","craft","1","make_clothes",
"Dot","learn","7","craft","1","crafting",
"Dot","learn","7","craft","1","cook",
"Dot","learn","7","craft","1","craft",
"Kione","money","4","craft","6","cards",
"Kione","money","4","craft","6","soccer",
"Kione","money","4","friends","6","cards",
"Kione","money","4","friends","6","soccer",
"Kione","money","4","games","10","cards",
"Kione","money","4","games","10","soccer",
"Kione","money","4","craft","5","cards",
"Kione","money","4","craft","5","soccer",
"Kione","love","6","craft","6","cards",
"Kione","love","6","craft","6","soccer",
"Kione","love","6","friends","6","cards",
"Kione","love","6","friends","6","soccer",
"Kione","love","6","games","10","cards",
"Kione","love","6","games","10","soccer",
"Kione","love","6","craft","5","cards",
"Kione","love","6","craft","5","soccer",
"Kione","fun","6","craft","6","cards",
"Kione","fun","6","craft","6","soccer",
"Kione","fun","6","friends","6","cards",
"Kione","fun","6","friends","6","soccer",
"Kione","fun","6","games","10","cards",
"Kione","fun","6","games","10","soccer",
"Kione","fun","6","craft","5","cards",
"Kione","fun","6","craft","5","soccer",
"Kione","learn","9","craft","6","cards",
"Kione","learn","9","craft","6","soccer",
"Kione","learn","9","friends","6","cards",
"Kione","learn","9","friends","6","soccer",
"Kione","learn","9","games","10","cards",
"Kione","learn","9","games","10","soccer",
"Kione","learn","9","craft","5","cards",
"Kione","learn","9","craft","5","soccer",
"Allison","money","10","business","6","run_stall",
"Allison","money","10","business","6","help_others",
"Allison","money","10","charity","10","run_stall",
"Allison","money","10","charity","10","help_others",
"Allison","money","10","chat","5","run_stall",
"Allison","money","10","chat","5","help_others",
"Allison","money","10","train","9","run_stall",
"Allison","money","10","train","9","help_others",
"Allison","love","6","business","6","run_stall",
"Allison","love","6","business","6","help_others",
"Allison","love","6","charity","10","run_stall",
"Allison","love","6","charity","10","help_others",
"Allison","love","6","chat","5","run_stall",
"Allison","love","6","chat","5","help_others",
"Allison","love","6","train","9","run_stall",
"Allison","love","6","train","9","help_others",
"Allison","fun","5","business","6","run_stall",
"Allison","fun","5","business","6","help_others",
"Allison","fun","5","charity","10","run_stall",
"Allison","fun","5","charity","10","help_others",
"Allison","fun","5","chat","5","run_stall",
"Allison","fun","5","chat","5","help_others",
"Allison","fun","5","train","9","run_stall",
"Allison","fun","5","train","9","help_others",
"Allison","learn","3","business","6","run_stall",
"Allison","learn","3","business","6","help_others",
"Allison","learn","3","charity","10","run_stall",
"Allison","learn","3","charity","10","help_others",
"Allison","learn","3","chat","5","run_stall",
"Allison","learn","3","chat","5","help_others",
"Allison","learn","3","train","9","run_stall",
"Allison","learn","3","train","9","help_others",
"Paris","money","8","work","6","job",
"Paris","money","8","work","6","run_stall",
"Paris","money","8","work","6","forage",
"Paris","money","8","work","6","forage",
"Paris","money","8","family","6","job",
"Paris","money","8","family","6","run_stall",
"Paris","money","8","family","6","forage",
"Paris","money","8","family","6","forage",
"Paris","money","8","friends","2","job",
"Paris","money","8","friends","2","run_stall",
"Paris","money","8","friends","2","forage",
"Paris","money","8","friends","2","forage",
"Paris","money","8","study","6","job",
"Paris","money","8","study","6","run_stall",
"Paris","money","8","study","6","forage",
"Paris","money","8","study","6","forage",
"Paris","love","5","work","6","job",
"Paris","love","5","work","6","run_stall",
"Paris","love","5","work","6","forage",
"Paris","love","5","work","6","forage",
"Paris","love","5","family","6","job",
"Paris","love","5","family","6","run_stall",
"Paris","love","5","family","6","forage",
"Paris","love","5","family","6","forage",
"Paris","love","5","friends","2","job",
"Paris","love","5","friends","2","run_stall",
"Paris","love","5","friends","2","forage",
"Paris","love","5","friends","2","forage",
"Paris","love","5","study","6","job",
"Paris","love","5","study","6","run_stall",
"Paris","love","5","study","6","forage",
"Paris","love","5","study","6","forage",
"Paris","fun","9","work","6","job",
"Paris","fun","9","work","6","run_stall",
"Paris","fun","9","work","6","forage",
"Paris","fun","9","work","6","forage",
"Paris","fun","9","family","6","job",
"Paris","fun","9","family","6","run_stall",
"Paris","fun","9","family","6","forage",
"Paris","fun","9","family","6","forage",
"Paris","fun","9","friends","2","job",
"Paris","fun","9","friends","2","run_stall",
"Paris","fun","9","friends","2","forage",
"Paris","fun","9","friends","2","forage",
"Paris","fun","9","study","6","job",
"Paris","fun","9","study","6","run_stall",
"Paris","fun","9","study","6","forage",
"Paris","fun","9","study","6","forage",
"Paris","learn","4","work","6","job",
"Paris","learn","4","work","6","run_stall",
"Paris","learn","4","work","6","forage",
"Paris","learn","4","work","6","forage",
"Paris","learn","4","family","6","job",
"Paris","learn","4","family","6","run_stall",
"Paris","learn","4","family","6","forage",
"Paris","learn","4","family","6","forage",
"Paris","learn","4","friends","2","job",
"Paris","learn","4","friends","2","run_stall",
"Paris","learn","4","friends","2","forage",
"Paris","learn","4","friends","2","forage",
"Paris","learn","4","study","6","job",
"Paris","learn","4","study","6","run_stall",
"Paris","learn","4","study","6","forage",
"Paris","learn","4","study","6","forage",
"Euphemia","money","8","craft","3","run_stall",
"Euphemia","money","8","craft","3","help_others",
"Euphemia","money","8","charity","9","run_stall",
"Euphemia","money","8","charity","9","help_others",
"Euphemia","money","8","fish","4","run_stall",
"Euphemia","money","8","fish","4","help_others",
"Euphemia","money","8","train","5","run_stall",
"Euphemia","money","8","train","5","help_others",
"Euphemia","love","1","craft","3","run_stall",
"Euphemia","love","1","craft","3","help_others",
"Euphemia","love","1","charity","9","run_stall",
"Euphemia","love","1","charity","9","help_others",
"Euphemia","love","1","fish","4","run_stall",
"Euphemia","love","1","fish","4","help_others",
"Euphemia","love","1","train","5","run_stall",
"Euphemia","love","1","train","5","help_others",
"Euphemia","fun","5","craft","3","run_stall",
"Euphemia","fun","5","craft","3","help_others",
"Euphemia","fun","5","charity","9","run_stall",
"Euphemia","fun","5","charity","9","help_others",
"Euphemia","fun","5","fish","4","run_stall",
"Euphemia","fun","5","fish","4","help_others",
"Euphemia","fun","5","train","5","run_stall",
"Euphemia","fun","5","train","5","help_others",
"Euphemia","learn","10","craft","3","run_stall",
"Euphemia","learn","10","craft","3","help_others",
"Euphemia","learn","10","charity","9","run_stall",
"Euphemia","learn","10","charity","9","help_others",
"Euphemia","learn","10","fish","4","run_stall",
"Euphemia","learn","10","fish","4","help_others",
"Euphemia","learn","10","train","5","run_stall",
"Euphemia","learn","10","train","5","help_others",
"Blake","money","2","forage","4","cafe",
"Blake","money","2","forage","4","restaurant",
"Blake","money","2","forage","4","shopping",
"Blake","money","2","friends","2","cafe",
"Blake","money","2","friends","2","restaurant",
"Blake","money","2","friends","2","shopping",
"Blake","money","2","friends","8","cafe",
"Blake","money","2","friends","8","restaurant",
"Blake","money","2","friends","8","shopping",
"Blake","money","2","work","2","cafe",
"Blake","money","2","work","2","restaurant",
"Blake","money","2","work","2","shopping",
"Blake","love","10","forage","4","cafe",
"Blake","love","10","forage","4","restaurant",
"Blake","love","10","forage","4","shopping",
"Blake","love","10","friends","2","cafe",
"Blake","love","10","friends","2","restaurant",
"Blake","love","10","friends","2","shopping",
"Blake","love","10","friends","8","cafe",
"Blake","love","10","friends","8","restaurant",
"Blake","love","10","friends","8","shopping",
"Blake","love","10","work","2","cafe",
"Blake","love","10","work","2","restaurant",
"Blake","love","10","work","2","shopping",
"Blake","fun","7","forage","4","cafe",
"Blake","fun","7","forage","4","restaurant",
"Blake","fun","7","forage","4","shopping",
"Blake","fun","7","friends","2","cafe",
"Blake","fun","7","friends","2","restaurant",
"Blake","fun","7","friends","2","shopping",
"Blake","fun","7","friends","8","cafe",
"Blake","fun","7","friends","8","restaurant",
"Blake","fun","7","friends","8","shopping",
"Blake","fun","7","work","2","cafe",
"Blake","fun","7","work","2","restaurant",
"Blake","fun","7","work","2","shopping",
"Blake","learn","3","forage","4","cafe",
"Blake","learn","3","forage","4","restaurant",
"Blake","learn","3","forage","4","shopping",
"Blake","learn","3","friends","2","cafe",
"Blake","learn","3","friends","2","restaurant",
"Blake","learn","3","friends","2","shopping",
"Blake","learn","3","friends","8","cafe",
"Blake","learn","3","friends","8","restaurant",
"Blake","learn","3","friends","8","shopping",
"Blake","learn","3","work","2","cafe",
"Blake","learn","3","work","2","restaurant",
"Blake","learn","3","work","2","shopping",
