---,Clothing Slot,Female Mesh,Male Mesh,Material Config,OpacityMask
PlateArmor_Chest_(Clean),"Upperbody","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/Medieval/Plate_Armor/SK_F_PlateArmor_Chest.SK_F_PlateArmor_Chest'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/Medieval/Plate_Armor/SK_M_PlateArmor_Chest.SK_M_PlateArmor_Chest'","((""Metal"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/Medieval/Plate_Armor/MI_PlateArmor_Clean.MI_PlateArmor_Clean""'),(""InnerCloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/Medieval/Plate_Armor/MI_Inner_Chainmail.MI_Inner_Chainmail""'),(""Skirt"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/Medieval/Plate_Armor/MI_Skirt_Chainmail.MI_Skirt_Chainmail""'))","Texture2D'/Game/UniversalCharacterSystem/Materials_Textures/Skin/T_Mask_Upperbody.T_Mask_Upperbody'"
PlateArmor_Chest_(Rusted),"Upperbody","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/Medieval/Plate_Armor/SK_F_PlateArmor_Chest.SK_F_PlateArmor_Chest'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/Medieval/Plate_Armor/SK_M_PlateArmor_Chest.SK_M_PlateArmor_Chest'","((""Metal"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/Medieval/Plate_Armor/MI_PlateArmor_Old.MI_PlateArmor_Old""'),(""InnerCloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/Medieval/Plate_Armor/MI_Inner_Chainmail.MI_Inner_Chainmail""'),(""Skirt"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/Medieval/Plate_Armor/MI_Skirt_Chainmail.MI_Skirt_Chainmail""'))","Texture2D'/Game/UniversalCharacterSystem/Materials_Textures/Skin/T_Mask_Upperbody.T_Mask_Upperbody'"
Hair_Short_A,"Hair","SkeletalMesh'/Game/UniversalCharacterSystem/Hair/SK_Female_Hair_Short_A.SK_Female_Hair_Short_A'","SkeletalMesh'/Game/UniversalCharacterSystem/Hair/SK_Male_Hair_Short_A.SK_Male_Hair_Short_A'","((""Hair"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Materials_Textures/Hair/MI_Final_Hair_MatInst.MI_Final_Hair_MatInst""'))","None"
Hair_Short_B,"Hair","SkeletalMesh'/Game/UniversalCharacterSystem/Hair/SK_Female_Hair_Short_B.SK_Female_Hair_Short_B'","SkeletalMesh'/Game/UniversalCharacterSystem/Hair/SK_Male_Hair_Short_B.SK_Male_Hair_Short_B'","((""Hair"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Materials_Textures/Hair/MI_Final_Hair_MatInst.MI_Final_Hair_MatInst""'))","None"
Hair_Short_C,"Hair","SkeletalMesh'/Game/UniversalCharacterSystem/Hair/SK_Female_Hair_Short_C.SK_Female_Hair_Short_C'","SkeletalMesh'/Game/UniversalCharacterSystem/Hair/SK_Male_Hair_Short_C.SK_Male_Hair_Short_C'","((""Hair"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Materials_Textures/Hair/MI_Final_Hair_MatInst.MI_Final_Hair_MatInst""'))","None"
Hair_Short_D,"Hair","SkeletalMesh'/Game/UniversalCharacterSystem/Hair/SK_Female_Hair_Short_D.SK_Female_Hair_Short_D'","SkeletalMesh'/Game/UniversalCharacterSystem/Hair/SK_Male_Hair_Short_D.SK_Male_Hair_Short_D'","((""Hair"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Materials_Textures/Hair/MI_Final_Hair_MatInst.MI_Final_Hair_MatInst""'))","None"
Hair_Short_E,"Hair","SkeletalMesh'/Game/UniversalCharacterSystem/Hair/SK_Male_Hair_Short_E.SK_Male_Hair_Short_E'","SkeletalMesh'/Game/UniversalCharacterSystem/Hair/SK_Female_Hair_Short_E_v2.SK_Female_Hair_Short_E_v2'","((""Hair"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Materials_Textures/Hair/MI_Final_Hair_MatInst.MI_Final_Hair_MatInst""'))","None"
Hair_Short_F,"Hair","SkeletalMesh'/Game/UniversalCharacterSystem/Hair/SK_Female_Hair_Short_F.SK_Female_Hair_Short_F'","SkeletalMesh'/Game/UniversalCharacterSystem/Hair/SK_Male_Hair_Short_F.SK_Male_Hair_Short_F'","((""Hair"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Materials_Textures/Hair/MI_Final_Hair_MatInst.MI_Final_Hair_MatInst""'))","None"
Hair_Long_A,"Hair","SkeletalMesh'/Game/UniversalCharacterSystem/Hair/SK_Female_Hair_Long_A.SK_Female_Hair_Long_A'","SkeletalMesh'/Game/UniversalCharacterSystem/Hair/SK_Male_Hair_Long_A.SK_Male_Hair_Long_A'","((""Hair"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Materials_Textures/Hair/MI_Final_Hair_MatInst.MI_Final_Hair_MatInst""'))","None"
Hair_Long_B,"Hair","SkeletalMesh'/Game/UniversalCharacterSystem/Hair/SK_Female_Hair_Long_B.SK_Female_Hair_Long_B'","SkeletalMesh'/Game/UniversalCharacterSystem/Hair/SK_Male_Hair_Long_B.SK_Male_Hair_Long_B'","((""Hair"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Materials_Textures/Hair/MI_Final_Hair_MatInst.MI_Final_Hair_MatInst""'))","None"
Hair_Long_C,"Hair","SkeletalMesh'/Game/UniversalCharacterSystem/Hair/SK_Female_Hair_Long_C.SK_Female_Hair_Long_C'","SkeletalMesh'/Game/UniversalCharacterSystem/Hair/SK_Male_Hair_Long_C.SK_Male_Hair_Long_C'","((""Hair"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Materials_Textures/Hair/MI_Final_Hair_MatInst.MI_Final_Hair_MatInst""'))","None"
Hair_Long_D,"Hair","SkeletalMesh'/Game/UniversalCharacterSystem/Hair/SK_Female_Hair_Long_D.SK_Female_Hair_Long_D'","SkeletalMesh'/Game/UniversalCharacterSystem/Hair/SK_Male_Hair_Long_D.SK_Male_Hair_Long_D'","((""Hair"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Materials_Textures/Hair/MI_Final_Hair_MatInst.MI_Final_Hair_MatInst""'))","None"
Hair_(Ragged_hood_only),"Hair","SkeletalMesh'/Game/UniversalCharacterSystem/Hair/SK_Female_Hair_OldHood_Fringe.SK_Female_Hair_OldHood_Fringe'","SkeletalMesh'/Game/UniversalCharacterSystem/Hair/SK_Male_Hair_OldHood_Fringe.SK_Male_Hair_OldHood_Fringe'","((""Cloth"", None),(""Hair"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Materials_Textures/Hair/MI_Final_Hair_MatInst.MI_Final_Hair_MatInst""'))","None"
Hair_Short_(Winter_cap_only),"Hair","SkeletalMesh'/Game/UniversalCharacterSystem/Hair/SK_Female_Hair_WinterCap_Short.SK_Female_Hair_WinterCap_Short'","SkeletalMesh'/Game/UniversalCharacterSystem/Hair/SK_Male_Hair_WinterCap_Short.SK_Male_Hair_WinterCap_Short'","((""Cloth"", None),(""Hair"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Materials_Textures/Hair/MI_Final_Hair_MatInst.MI_Final_Hair_MatInst""'))","None"
Hair_Long_(Winter_cap_only),"Hair","SkeletalMesh'/Game/UniversalCharacterSystem/Hair/SK_Female_Hair_WinterCap.SK_Female_Hair_WinterCap'","SkeletalMesh'/Game/UniversalCharacterSystem/Hair/SK_Male_Hair_WinterCap.SK_Male_Hair_WinterCap'","((""Cloth"", None),(""Hair"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Materials_Textures/Hair/MI_Final_Hair_MatInst.MI_Final_Hair_MatInst""'))","None"
Full_Beard_A,"Beard","None","SkeletalMesh'/Game/UniversalCharacterSystem/Hair/SK_Male_Beard_A.SK_Male_Beard_A'","((""Cloth"", None),(""Hair"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Materials_Textures/Hair/MI_Beard_Hair_MatInst.MI_Beard_Hair_MatInst""'))","None"
Full_Beard_B,"Beard","None","SkeletalMesh'/Game/UniversalCharacterSystem/Hair/SK_Male_Beard_B.SK_Male_Beard_B'","((""Cloth"", None),(""Hair"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Materials_Textures/Hair/MI_Beard_Hair_MatInst.MI_Beard_Hair_MatInst""'))","None"
Full_Beard_C,"Beard","None","SkeletalMesh'/Game/UniversalCharacterSystem/Hair/SK_Male_Beard_C.SK_Male_Beard_C'","((""Cloth"", None),(""Hair"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Materials_Textures/Hair/MI_Beard_Hair_MatInst.MI_Beard_Hair_MatInst""'))","None"
Full_Beard_D,"Beard","None","SkeletalMesh'/Game/UniversalCharacterSystem/Hair/SK_Male_Beard_D.SK_Male_Beard_D'","((""Cloth"", None),(""Hair"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Materials_Textures/Hair/MI_Beard_Hair_MatInst.MI_Beard_Hair_MatInst""'))","None"
Full_Beard_E,"Beard","None","SkeletalMesh'/Game/UniversalCharacterSystem/Hair/SK_Male_Beard_E.SK_Male_Beard_E'","((""Cloth"", None),(""Hair"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Materials_Textures/Hair/MI_Beard_Hair_MatInst.MI_Beard_Hair_MatInst""'))","None"
Moustache_A,"Beard","None","SkeletalMesh'/Game/UniversalCharacterSystem/Hair/SK_Male_Moustache.SK_Male_Moustache'","((""Cloth"", None),(""Hair"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Materials_Textures/Hair/MI_Beard_Hair_MatInst.MI_Beard_Hair_MatInst""'))","None"
Moustache_B,"Beard","None","SkeletalMesh'/Game/UniversalCharacterSystem/Hair/SK_Male_Moustache_B.SK_Male_Moustache_B'","((""Cloth"", None),(""Hair"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Materials_Textures/Hair/MI_Beard_Hair_MatInst.MI_Beard_Hair_MatInst""'))","None"
Short_Sleeves_T-Shirt_(Base),"Upperbody","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/T-Shirts/ShortSleeves/SK_F_TShirt_Shortsleeves.SK_F_TShirt_Shortsleeves'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/T-Shirts/ShortSleeves/SK_M_TShirt_Shortsleeves.SK_M_TShirt_Shortsleeves'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/T-Shirts/ShortSleeves/MI_ShortsleevesShirt_Base.MI_ShortsleevesShirt_Base""'))","Texture2D'/Game/UniversalCharacterSystem/Materials_Textures/Skin/T_Mask_Upperbody_ShortSleeves.T_Mask_Upperbody_ShortSleeves'"
Short_Sleeves_T-Shirt_(Black),"Upperbody","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/T-Shirts/ShortSleeves/SK_F_TShirt_Shortsleeves.SK_F_TShirt_Shortsleeves'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/T-Shirts/ShortSleeves/SK_M_TShirt_Shortsleeves.SK_M_TShirt_Shortsleeves'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/T-Shirts/ShortSleeves/MI_Shirt_C.MI_Shirt_C""'))","Texture2D'/Game/UniversalCharacterSystem/Materials_Textures/Skin/T_Mask_Upperbody_ShortSleeves.T_Mask_Upperbody_ShortSleeves'"
Short_Sleeves_T-Shirt_(Camo),"Upperbody","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/T-Shirts/ShortSleeves/SK_F_TShirt_Shortsleeves.SK_F_TShirt_Shortsleeves'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/T-Shirts/ShortSleeves/SK_M_TShirt_Shortsleeves.SK_M_TShirt_Shortsleeves'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/T-Shirts/ShortSleeves/MI_Shirt_B.MI_Shirt_B""'))","Texture2D'/Game/UniversalCharacterSystem/Materials_Textures/Skin/T_Mask_Upperbody_ShortSleeves.T_Mask_Upperbody_ShortSleeves'"
Short_Sleeves_T-Shirt_(Beach),"Upperbody","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/T-Shirts/ShortSleeves/SK_F_TShirt_Shortsleeves.SK_F_TShirt_Shortsleeves'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/T-Shirts/ShortSleeves/SK_M_TShirt_Shortsleeves.SK_M_TShirt_Shortsleeves'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/T-Shirts/ShortSleeves/MI_Shirt_Beach.MI_Shirt_Beach""'))","Texture2D'/Game/UniversalCharacterSystem/Materials_Textures/Skin/T_Mask_Upperbody_ShortSleeves.T_Mask_Upperbody_ShortSleeves'"
Short_Sleeves_T-Shirt_(Leopard),"Upperbody","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/T-Shirts/ShortSleeves/SK_F_TShirt_Shortsleeves.SK_F_TShirt_Shortsleeves'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/T-Shirts/ShortSleeves/SK_M_TShirt_Shortsleeves.SK_M_TShirt_Shortsleeves'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/T-Shirts/ShortSleeves/MI_Shirt_Leopard.MI_Shirt_Leopard""'))","Texture2D'/Game/UniversalCharacterSystem/Materials_Textures/Skin/T_Mask_Upperbody_ShortSleeves.T_Mask_Upperbody_ShortSleeves'"
Short_Sleeves_T-Shirt_(Flowers),"Upperbody","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/T-Shirts/ShortSleeves/SK_F_TShirt_Shortsleeves.SK_F_TShirt_Shortsleeves'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/T-Shirts/ShortSleeves/SK_M_TShirt_Shortsleeves.SK_M_TShirt_Shortsleeves'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/T-Shirts/ShortSleeves/MI_Shirt_Flowers.MI_Shirt_Flowers""'))","Texture2D'/Game/UniversalCharacterSystem/Materials_Textures/Skin/T_Mask_Upperbody_ShortSleeves.T_Mask_Upperbody_ShortSleeves'"
Short_Sleeves_T-Shirt_(Torn),"Upperbody","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/T-Shirts/ShortSleeves/SK_F_TShirt_Shortsleeves.SK_F_TShirt_Shortsleeves'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/T-Shirts/ShortSleeves/SK_M_TShirt_Shortsleeves.SK_M_TShirt_Shortsleeves'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/T-Shirts/ShortSleeves/MI_ShortSleevesShirt_Torn.MI_ShortSleevesShirt_Torn""'))","Texture2D'/Game/UniversalCharacterSystem/Materials_Textures/Skin/T_Mask_Upperbody_ShortSleeves.T_Mask_Upperbody_ShortSleeves'"
Classic_Blue_Jeans,"Lowerbody","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Bottom/Pants/SK_F_Pants.SK_F_Pants'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Bottom/Pants/SK_M_Pants.SK_M_Pants'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Bottom/Pants/MI_ClassicJeans.MI_ClassicJeans""'))","Texture2D'/Game/UniversalCharacterSystem/Materials_Textures/Skin/T_Mask_Lowerbody.T_Mask_Lowerbody'"
Black_Jeans,"Lowerbody","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Bottom/Pants/SK_F_Pants.SK_F_Pants'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Bottom/Pants/SK_M_Pants.SK_M_Pants'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Bottom/Pants/MI_BlackJeans.MI_BlackJeans""'))","Texture2D'/Game/UniversalCharacterSystem/Materials_Textures/Skin/T_Mask_Lowerbody.T_Mask_Lowerbody'"
Leopard_Pants,"Lowerbody","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Bottom/Pants/SK_F_Pants.SK_F_Pants'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Bottom/Pants/SK_M_Pants.SK_M_Pants'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Bottom/Pants/MI_Leopard_Pants.MI_Leopard_Pants""'))","Texture2D'/Game/UniversalCharacterSystem/Materials_Textures/Skin/T_Mask_Lowerbody.T_Mask_Lowerbody'"
Torn_Jeans,"Lowerbody","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Bottom/Pants/SK_F_Pants.SK_F_Pants'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Bottom/Pants/SK_M_Pants.SK_M_Pants'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Bottom/Pants/MI_TornJeans.MI_TornJeans""'))","Texture2D'/Game/UniversalCharacterSystem/Materials_Textures/Skin/T_Mask_Lowerbody.T_Mask_Lowerbody'"
Dirty_Jeans,"Lowerbody","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Bottom/Pants/SK_F_Pants.SK_F_Pants'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Bottom/Pants/SK_M_Pants.SK_M_Pants'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Bottom/Pants/MI_ClassicJeans_Dirty.MI_ClassicJeans_Dirty""'))","Texture2D'/Game/UniversalCharacterSystem/Materials_Textures/Skin/T_Mask_Lowerbody.T_Mask_Lowerbody'"
Camo_Shorts,"Lowerbody","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Bottom/Shorts/SK_F_Shorts.SK_F_Shorts'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Bottom/Shorts/SK_M_Shorts.SK_M_Shorts'","((""Cloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Bottom/Shorts/MI_Short_Camo.MI_Short_Camo""'))","Texture2D'/Game/UniversalCharacterSystem/Materials_Textures/Skin/T_Mask_Lowerbody_Shorts.T_Mask_Lowerbody_Shorts'"
