width=320
height=240
20160723T141107.490409 frame_000000
20160723T141114.486459 frame_000213
20160723T141114.525232 frame_000214
20160723T141114.553843 frame_000215
20160723T141114.586215 frame_000216
20160723T141114.624993 frame_000217
20160723T141114.659112 frame_000218
20160723T141114.694617 frame_000219
20160723T141114.720798 frame_000220
20160723T141114.751964 frame_000221
20160723T141114.784697 frame_000222
20160723T141114.823289 frame_000223
20160723T141114.852064 frame_000224
20160723T141114.873754 frame_000225
20160723T141114.906409 frame_000226
20160723T141114.944826 frame_000227
20160723T141114.973590 frame_000228
20160723T141114.996222 frame_000229
20160723T141115.020244 frame_000230
20160723T141115.052282 frame_000231
20160723T141115.088270 frame_000232
20160723T141115.122099 frame_000233
20160723T141115.144631 frame_000234
20160723T141115.170013 frame_000235
20160723T141115.204834 frame_000236
20160723T141115.241670 frame_000237
20160723T141115.270671 frame_000238
20160723T141115.304743 frame_000239
20160723T141115.339670 frame_000240
20160723T141115.370653 frame_000241
20160723T141115.405512 frame_000242
20160723T141115.434705 frame_000243
20160723T141115.456186 frame_000244
20160723T141115.485581 frame_000245
20160723T141115.511404 frame_000246
20160723T141115.539461 frame_000247
20160723T141115.561787 frame_000248
20160723T141115.586697 frame_000249
20160723T141115.607908 frame_000250
20160723T141115.636217 frame_000251
20160723T141115.658281 frame_000252
20160723T141115.686304 frame_000253
20160723T141115.707331 frame_000254
20160723T141115.736807 frame_000255
20160723T141115.758491 frame_000256
20160723T141115.785002 frame_000257
20160723T141115.818668 frame_000258
20160723T141115.855403 frame_000259
20160723T141115.884873 frame_000260
20160723T141115.907521 frame_000261
20160723T141115.936260 frame_000262
20160723T141115.971964 frame_000263
20160723T141116.002213 frame_000264
20160723T141116.034787 frame_000265
20160723T141116.075515 frame_000266
20160723T141116.106771 frame_000267
20160723T141116.127886 frame_000268
20160723T141116.153971 frame_000269
20160723T141116.174843 frame_000270
20160723T141116.203973 frame_000271
20160723T141116.236434 frame_000272
20160723T141116.275505 frame_000273
20160723T141116.303853 frame_000274
20160723T141116.331609 frame_000275
20160723T141116.354549 frame_000276
20160723T141116.380205 frame_000277
20160723T141116.407506 frame_000278
20160723T141116.430505 frame_000279
20160723T141116.453140 frame_000280
20160723T141116.475686 frame_000281
20160723T141116.503622 frame_000282
20160723T141116.525718 frame_000283
20160723T141116.553618 frame_000284
20160723T141116.602775 frame_000285
20160723T141116.643288 frame_000286
20160723T141116.669812 frame_000287
20160723T141116.702303 frame_000288
20160723T141116.738266 frame_000289
20160723T141116.769157 frame_000290
20160723T141116.791265 frame_000291
20160723T141116.818879 frame_000292
20160723T141116.853113 frame_000293
20160723T141116.890912 frame_000294
20160723T141116.918824 frame_000295
20160723T141116.957367 frame_000296
20160723T141116.995317 frame_000297
20160723T141117.020718 frame_000298
20160723T141117.053282 frame_000299
20160723T141117.074466 frame_000300
20160723T141117.096073 frame_000301
20160723T141117.123763 frame_000302
20160723T141117.148353 frame_000303
20160723T141117.170099 frame_000304
20160723T141117.192636 frame_000305
20160723T141117.220637 frame_000306
20160723T141117.256878 frame_000307
20160723T141117.287948 frame_000308
20160723T141117.320816 frame_000309
20160723T141117.343612 frame_000310
20160723T141117.365149 frame_000311
20160723T141117.388668 frame_000312
20160723T141117.412491 frame_000313
20160723T141117.439483 frame_000314
20160723T141117.461816 frame_000315
20160723T141117.489422 frame_000316
20160723T141117.519684 frame_000317
20160723T141117.561918 frame_000318
20160723T141117.589839 frame_000319
20160723T141117.613159 frame_000320
20160723T141117.642895 frame_000321
20160723T141117.667392 frame_000322
20160723T141117.693906 frame_000323
20160723T141117.719364 frame_000324
20160723T141117.759863 frame_000325
20160723T141117.788807 frame_000326
20160723T141117.812501 frame_000327
20160723T141117.835791 frame_000328
20160723T141117.859679 frame_000329
20160723T141117.886200 frame_000330
20160723T141117.908374 frame_000331
20160723T141117.936212 frame_000332
20160723T141117.969837 frame_000333
20160723T141118.007454 frame_000334
20160723T141118.041912 frame_000335
20160723T141118.066010 frame_000336
20160723T141118.091100 frame_000337
20160723T141118.113602 frame_000338
20160723T141118.136545 frame_000339
20160723T141118.164085 frame_000340
20160723T141118.191461 frame_000341
20160723T141118.233340 frame_000342
20160723T141118.257567 frame_000343
20160723T141118.280903 frame_000344
20160723T141118.304788 frame_000345
20160723T141118.338078 frame_000346
20160723T141118.375595 frame_000347
20160723T141118.408583 frame_000348
20160723T141118.432101 frame_000349
20160723T141118.453911 frame_000350
20160723T141118.475696 frame_000351
20160723T141118.514196 frame_000352
20160723T141118.552322 frame_000353
20160723T141118.574123 frame_000354
20160723T141118.605080 frame_000355
20160723T141118.632258 frame_000356
20160723T141118.660088 frame_000357
20160723T141118.685449 frame_000358
20160723T141118.709575 frame_000359
20160723T141118.740311 frame_000360
20160723T141118.774956 frame_000361
20160723T141118.810476 frame_000362
20160723T141118.834621 frame_000363
20160723T141118.884764 frame_000364
20160723T141118.908037 frame_000365
20160723T141118.937796 frame_000366
20160723T141118.974808 frame_000367
20160723T141119.006255 frame_000368
20160723T141119.029248 frame_000369
20160723T141119.053358 frame_000370
20160723T141119.074265 frame_000371
20160723T141119.103343 frame_000372
20160723T141119.124471 frame_000373
20160723T141119.153244 frame_000374
20160723T141119.188183 frame_000375
20160723T141119.218688 frame_000376
20160723T141119.257895 frame_000377
20160723T141119.298594 frame_000378
20160723T141119.321074 frame_000379
20160723T141119.343706 frame_000380
20160723T141119.371261 frame_000381
20160723T141119.405163 frame_000382
20160723T141119.444050 frame_000383
20160723T141119.471229 frame_000384
20160723T141119.492318 frame_000385
20160723T141119.519859 frame_000386
20160723T141119.552424 frame_000387
20160723T141119.593764 frame_000388
20160723T141119.621207 frame_000389
20160723T141119.643529 frame_000390
20160723T141119.672943 frame_000391
20160723T141119.698084 frame_000392
20160723T141119.720720 frame_000393
20160723T141119.744323 frame_000394
20160723T141119.771202 frame_000395
20160723T141119.792505 frame_000396
20160723T141119.824220 frame_000397
20160723T141119.853450 frame_000398
20160723T141119.895423 frame_000399
20160723T141119.922847 frame_000400
20160723T141119.945036 frame_000401
20160723T141119.971013 frame_000402
20160723T141120.001417 frame_000403
20160723T141120.039545 frame_000404
20160723T141120.069212 frame_000405
20160723T141120.101636 frame_000406
20160723T141120.139610 frame_000407
20160723T141120.169003 frame_000408
20160723T141120.201679 frame_000409
20160723T141120.239756 frame_000410
20160723T141120.269106 frame_000411
20160723T141120.301671 frame_000412
20160723T141120.348172 frame_000413
20160723T141120.372704 frame_000414
20160723T141120.396025 frame_000415
20160723T141120.423579 frame_000416
20160723T141120.446813 frame_000417
20160723T141120.473049 frame_000418
20160723T141120.495007 frame_000419
20160723T141120.520507 frame_000420
20160723T141120.559195 frame_000421
20160723T141120.588027 frame_000422
20160723T141120.612758 frame_000423
20160723T141120.640556 frame_000424
20160723T141120.663190 frame_000425
20160723T141120.686034 frame_000426
20160723T141120.720162 frame_000427
20160723T141120.762587 frame_000428
20160723T141120.789502 frame_000429
20160723T141120.812622 frame_000430
20160723T141120.836935 frame_000431
20160723T141120.859703 frame_000432
20160723T141120.890332 frame_000433
20160723T141120.912651 frame_000434
20160723T141120.940420 frame_000435
20160723T141120.963446 frame_000436
20160723T141120.986085 frame_000437
20160723T141121.020132 frame_000438
20160723T141121.068795 frame_000439
20160723T141121.093690 frame_000440
20160723T141121.115379 frame_000441
20160723T141121.137564 frame_000442
20160723T141121.160324 frame_000443
20160723T141121.188063 frame_000444
20160723T141121.217008 frame_000445
20160723T141121.238754 frame_000446
20160723T141121.263240 frame_000447
20160723T141121.287325 frame_000448
20160723T141121.321104 frame_000449
20160723T141121.359144 frame_000450
20160723T141121.387155 frame_000451
20160723T141121.408709 frame_000452
20160723T141121.437151 frame_000453
20160723T141121.459217 frame_000454
20160723T141121.494411 frame_000455
20160723T141121.523656 frame_000456
20160723T141121.559726 frame_000457
20160723T141121.587298 frame_000458
20160723T141121.608711 frame_000459
20160723T141121.637263 frame_000460
20160723T141121.659319 frame_000461
20160723T141121.694378 frame_000462
20160723T141121.737019 frame_000463
20160723T141121.759692 frame_000464
20160723T141121.794650 frame_000465
20160723T141121.818089 frame_000466
20160723T141121.839615 frame_000467
20160723T141121.863707 frame_000468
20160723T141121.886311 frame_000469
20160723T141121.908601 frame_000470
20160723T141121.936990 frame_000471
20160723T141121.969002 frame_000472
20160723T141121.993931 frame_000473
20160723T141122.014855 frame_000474
20160723T141122.036894 frame_000475
20160723T141122.069439 frame_000476
20160723T141122.104813 frame_000477
20160723T141122.135114 frame_000478
20160723T141122.156571 frame_000479
20160723T141122.188016 frame_000480
20160723T141122.209345 frame_000481
20160723T141122.238025 frame_000482
20160723T141122.260531 frame_000483
20160723T141122.287689 frame_000484
20160723T141122.309660 frame_000485
20160723T141122.337980 frame_000486
20160723T141122.361087 frame_000487
20160723T141122.388021 frame_000488
20160723T141122.409257 frame_000489
20160723T141122.437958 frame_000490
20160723T141122.460933 frame_000491
20160723T141122.488093 frame_000492
20160723T141122.509128 frame_000493
20160723T141122.538160 frame_000494
20160723T141122.576693 frame_000495
20160723T141122.607224 frame_000496
20160723T141122.638253 frame_000497
20160723T141122.676253 frame_000498
20160723T141122.702784 frame_000499
20160723T141122.738763 frame_000500
20160723T141122.777816 frame_000501
20160723T141122.803842 frame_000502
20160723T141122.825400 frame_000503
20160723T141122.856147 frame_000504
20160723T141122.878453 frame_000505
20160723T141122.903969 frame_000506
20160723T141122.935297 frame_000507
20160723T141122.973068 frame_000508
20160723T141123.002439 frame_000509
20160723T141123.039714 frame_000510
20160723T141123.080689 frame_000511
20160723T141123.104599 frame_000512
20160723T141123.131047 frame_000513
20160723T141123.173198 frame_000514
20160723T141123.201874 frame_000515
20160723T141123.235739 frame_000516
20160723T141123.274453 frame_000517
20160723T141123.306103 frame_000518
20160723T141123.326983 frame_000519
20160723T141123.353581 frame_000520
20160723T141123.379010 frame_000521
20160723T141123.406188 frame_000522
20160723T141123.438798 frame_000523
20160723T141123.477904 frame_000524
20160723T141123.513471 frame_000525
20160723T141123.534467 frame_000526
20160723T141123.572889 frame_000527
20160723T141123.611090 frame_000528
20160723T141123.633653 frame_000529
20160723T141123.654899 frame_000530
20160723T141123.677531 frame_000531
20160723T141123.704839 frame_000532
20160723T141123.726729 frame_000533
20160723T141123.754305 frame_000534
20160723T141123.777713 frame_000535
20160723T141123.802791 frame_000536
20160723T141123.831300 frame_000537
20160723T141123.857889 frame_000538
20160723T141123.886114 frame_000539
20160723T141123.922214 frame_000540
20160723T141123.951813 frame_000541
20160723T141123.973943 frame_000542
20160723T141124.001926 frame_000543
20160723T141124.024768 frame_000544
20160723T141124.057381 frame_000545
20160723T141124.088435 frame_000546
20160723T141124.122680 frame_000547
20160723T141124.153257 frame_000548
20160723T141124.187656 frame_000549
20160723T141124.224413 frame_000550
20160723T141124.253691 frame_000551
20160723T141124.275796 frame_000552
20160723T141124.303216 frame_000553
20160723T141124.352893 frame_000554
20160723T141124.385924 frame_000555
20160723T141124.423144 frame_000556
20160723T141124.453751 frame_000557
20160723T141124.474673 frame_000558
20160723T141124.508616 frame_000559
20160723T141124.530860 frame_000560
20160723T141124.557612 frame_000561
20160723T141124.582696 frame_000562
20160723T141124.603738 frame_000563
20160723T141124.631173 frame_000564
20160723T141124.660138 frame_000565
20160723T141124.684014 frame_000566
20160723T141124.704946 frame_000567
20160723T141124.727587 frame_000568
20160723T141124.755531 frame_000569
20160723T141124.778127 frame_000570
20160723T141124.805456 frame_000571
20160723T141124.826860 frame_000572
20160723T141124.852848 frame_000573
20160723T141124.879160 frame_000574
20160723T141124.902842 frame_000575
20160723T141124.936572 frame_000576
20160723T141124.974173 frame_000577
20160723T141125.002063 frame_000578
20160723T141125.023180 frame_000579
20160723T141125.052572 frame_000580
20160723T141125.074085 frame_000581
20160723T141125.103093 frame_000582
20160723T141125.135973 frame_000583
20160723T141125.181068 frame_000584
20160723T141125.203361 frame_000585
20160723T141125.225049 frame_000586
20160723T141125.256349 frame_000587
20160723T141125.279032 frame_000588
20160723T141125.304327 frame_000589
20160723T141125.336495 frame_000590
20160723T141125.373769 frame_000591
20160723T141125.408375 frame_000592
20160723T141125.430754 frame_000593
20160723T141125.454223 frame_000594
20160723T141125.477601 frame_000595
20160723T141125.504691 frame_000596
20160723T141125.530211 frame_000597
20160723T141125.559941 frame_000598
20160723T141125.583645 frame_000599
20160723T141125.627480 frame_000600
20160723T141125.654866 frame_000601
20160723T141125.678002 frame_000602
20160723T141125.705500 frame_000603
20160723T141125.727021 frame_000604
20160723T141125.754995 frame_000605
20160723T141125.778547 frame_000606
20160723T141125.804419 frame_000607
20160723T141125.832406 frame_000608
20160723T141125.855115 frame_000609
20160723T141125.878597 frame_000610
20160723T141125.905941 frame_000611
20160723T141125.936627 frame_000612
20160723T141125.974948 frame_000613
20160723T141126.002824 frame_000614
20160723T141126.037124 frame_000615
20160723T141126.083968 frame_000616
20160723T141126.107944 frame_000617
20160723T141126.131981 frame_000618
20160723T141126.157984 frame_000619
20160723T141126.182124 frame_000620
20160723T141126.204646 frame_000621
20160723T141126.239682 frame_000622
20160723T141126.269084 frame_000623
20160723T141126.302306 frame_000624
20160723T141126.338807 frame_000625
20160723T141126.369192 frame_000626
20160723T141126.390409 frame_000627
20160723T141126.419230 frame_000628
20160723T141126.455945 frame_000629
20160723T141126.494356 frame_000630
20160723T141126.520099 frame_000631
20160723T141126.553012 frame_000632
20160723T141126.591673 frame_000633
20160723T141126.620180 frame_000634
20160723T141126.648522 frame_000635
20160723T141126.671518 frame_000636
20160723T141126.694356 frame_000637
20160723T141126.722144 frame_000638
20160723T141126.754813 frame_000639
20160723T141126.793666 frame_000640
20160723T141126.822137 frame_000641
20160723T141126.843232 frame_000642
20160723T141126.872241 frame_000643
20160723T141126.894110 frame_000644
20160723T141126.922123 frame_000645
20160723T141126.954607 frame_000646
20160723T141126.990307 frame_000647
20160723T141127.019569 frame_000648
20160723T141127.054749 frame_000649
20160723T141127.093736 frame_000650
20160723T141127.122045 frame_000651
20160723T141127.143819 frame_000652
20160723T141127.174967 frame_000653
20160723T141127.202495 frame_000654
20160723T141127.242570 frame_000655
20160723T141127.271550 frame_000656
20160723T141127.294440 frame_000657
20160723T141127.321530 frame_000658
20160723T141127.342467 frame_000659
20160723T141127.371568 frame_000660
20160723T141127.394180 frame_000661
20160723T141127.419108 frame_000662
20160723T141127.453608 frame_000663
20160723T141127.490313 frame_000664
20160723T141127.519151 frame_000665
20160723T141127.553037 frame_000666
20160723T141127.590141 frame_000667
20160723T141127.619090 frame_000668
20160723T141127.639924 frame_000669
20160723T141127.669030 frame_000670
20160723T141127.699004 frame_000671
20160723T141127.724740 frame_000672
20160723T141127.754493 frame_000673
20160723T141127.793879 frame_000674
20160723T141127.821553 frame_000675
20160723T141127.842626 frame_000676
20160723T141127.871531 frame_000677
20160723T141127.894342 frame_000678
20160723T141127.920388 frame_000679
20160723T141127.953361 frame_000680
20160723T141127.987738 frame_000681
20160723T141128.019105 frame_000682
20160723T141128.052759 frame_000683
20160723T141128.090155 frame_000684
20160723T141128.119316 frame_000685
20160723T141128.144255 frame_000686
20160723T141128.169635 frame_000687
20160723T141128.191019 frame_000688
20160723T141128.224647 frame_000689
20160723T141128.246098 frame_000690
20160723T141128.274673 frame_000691
20160723T141128.304608 frame_000692
20160723T141128.342357 frame_000693
20160723T141128.373753 frame_000694
20160723T141128.397952 frame_000695
20160723T141128.423231 frame_000696
20160723T141128.445606 frame_000697
20160723T141128.470999 frame_000698
20160723T141128.553080 frame_000699
20160723T141128.582336 frame_000700
20160723T141128.609229 frame_000701
20160723T141128.644669 frame_000702
20160723T141128.672349 frame_000703
20160723T141128.694208 frame_000704
20160723T141128.722235 frame_000705
20160723T141128.743976 frame_000706
20160723T141128.772350 frame_000707
20160723T141128.795383 frame_000708
20160723T141128.822040 frame_000709
20160723T141128.843762 frame_000710
20160723T141128.872374 frame_000711
20160723T141128.895398 frame_000712
20160723T141128.919696 frame_000713
20160723T141128.954153 frame_000714
20160723T141128.991651 frame_000715
20160723T141129.020839 frame_000716
20160723T141129.053535 frame_000717
20160723T141129.091016 frame_000718
20160723T141129.125833 frame_000719
20160723T141129.148617 frame_000720
20160723T141129.174521 frame_000721
20160723T141129.198782 frame_000722
20160723T141129.220984 frame_000723
20160723T141129.243409 frame_000724
20160723T141129.271641 frame_000725
20160723T141129.293674 frame_000726
20160723T141129.321535 frame_000727
20160723T141129.351600 frame_000728
20160723T141129.396276 frame_000729
20160723T141129.422310 frame_000730
20160723T141129.443734 frame_000731
20160723T141129.472288 frame_000732
20160723T141129.494860 frame_000733
20160723T141129.519721 frame_000734
20160723T141129.554130 frame_000735
20160723T141129.591277 frame_000736
20160723T141129.619699 frame_000737
20160723T141129.641262 frame_000738
20160723T141129.675178 frame_000739
20160723T141129.696819 frame_000740
20160723T141129.721358 frame_000741
20160723T141129.742954 frame_000742
20160723T141129.771505 frame_000743
20160723T141129.793884 frame_000744
20160723T141129.821521 frame_000745
20160723T141129.843255 frame_000746
20160723T141129.871646 frame_000747
20160723T141129.894479 frame_000748
20160723T141129.921608 frame_000749
20160723T141129.955548 frame_000750
20160723T141129.994324 frame_000751
20160723T141130.022177 frame_000752
20160723T141130.054930 frame_000753
20160723T141130.093962 frame_000754
20160723T141130.122298 frame_000755
20160723T141130.143765 frame_000756
20160723T141130.172250 frame_000757
20160723T141130.193158 frame_000758
20160723T141130.222904 frame_000759
20160723T141130.256095 frame_000760
20160723T141130.291950 frame_000761
20160723T141130.320208 frame_000762
20160723T141130.352212 frame_000763
20160723T141130.390466 frame_000764
20160723T141130.419403 frame_000765
20160723T141130.452009 frame_000766
20160723T141130.496812 frame_000767
20160723T141130.522779 frame_000768
20160723T141130.546000 frame_000769
20160723T141130.569507 frame_000770
20160723T141130.591223 frame_000771
20160723T141130.619520 frame_000772
20160723T141130.653157 frame_000773
20160723T141130.690176 frame_000774
20160723T141130.719444 frame_000775
20160723T141130.752993 frame_000776
20160723T141130.790014 frame_000777
20160723T141130.819085 frame_000778
20160723T141130.852606 frame_000779
20160723T141130.890437 frame_000780
20160723T141130.918797 frame_000781
20160723T141130.952646 frame_000782
20160723T141130.989627 frame_000783
20160723T141131.018612 frame_000784
20160723T141131.039501 frame_000785
20160723T141131.068722 frame_000786
20160723T141131.090026 frame_000787
20160723T141131.118803 frame_000788
20160723T141131.152553 frame_000789
20160723T141131.190877 frame_000790
20160723T141131.218940 frame_000791
20160723T141131.257610 frame_000792
20160723T141131.296122 frame_000793
20160723T141131.323536 frame_000794
20160723T141131.346177 frame_000795
20160723T141131.373745 frame_000796
20160723T141131.397723 frame_000797
20160723T141131.423039 frame_000798
20160723T141131.445299 frame_000799
20160723T141131.471016 frame_000800
20160723T141131.493649 frame_000801
20160723T141131.522393 frame_000802
20160723T141131.545582 frame_000803
20160723T141131.574078 frame_000804
20160723T141131.604746 frame_000805
20160723T141131.646690 frame_000806
20160723T141131.675587 frame_000807
20160723T141131.702708 frame_000808
20160723T141131.726783 frame_000809
20160723T141131.752261 frame_000810
20160723T141131.791069 frame_000811
20160723T141131.819863 frame_000812
20160723T141131.852685 frame_000813
20160723T141131.890172 frame_000814
20160723T141131.918913 frame_000815
20160723T141131.952660 frame_000816
20160723T141131.989828 frame_000817
20160723T141132.023324 frame_000818
20160723T141132.044898 frame_000819
20160723T141132.070804 frame_000820
20160723T141132.093180 frame_000821
20160723T141132.120880 frame_000822
20160723T141132.142083 frame_000823
20160723T141132.170937 frame_000824
20160723T141132.202607 frame_000825
20160723T141132.244652 frame_000826
20160723T141132.272270 frame_000827
20160723T141132.295129 frame_000828
20160723T141132.322360 frame_000829
20160723T141132.343689 frame_000830
20160723T141132.372291 frame_000831
20160723T141132.396109 frame_000832
20160723T141132.422280 frame_000833
20160723T141132.443288 frame_000834
20160723T141132.472322 frame_000835
20160723T141132.494598 frame_000836
20160723T141132.519514 frame_000837
20160723T141132.540379 frame_000838
20160723T141132.572832 frame_000839
20160723T141132.602512 frame_000840
20160723T141132.644268 frame_000841
20160723T141132.672144 frame_000842
20160723T141132.694749 frame_000843
20160723T141132.722434 frame_000844
20160723T141132.743644 frame_000845
20160723T141132.772250 frame_000846
20160723T141132.794763 frame_000847
20160723T141132.819096 frame_000848
20160723T141132.840130 frame_000849
20160723T141132.868689 frame_000850
20160723T141132.890180 frame_000851
20160723T141132.918816 frame_000852
20160723T141132.952931 frame_000853
20160723T141132.989984 frame_000854
20160723T141133.019036 frame_000855
20160723T141133.053191 frame_000856
20160723T141133.089723 frame_000857
20160723T141133.118892 frame_000858
20160723T141133.139797 frame_000859
20160723T141133.168734 frame_000860
20160723T141133.206771 frame_000861
20160723T141133.244899 frame_000862
20160723T141133.296155 frame_000863
20160723T141133.323489 frame_000864
20160723T141133.344644 frame_000865
20160723T141133.370099 frame_000866
20160723T141133.392849 frame_000867
20160723T141133.420021 frame_000868
20160723T141133.441687 frame_000869
20160723T141133.473305 frame_000870
20160723T141133.513723 frame_000871
20160723T141133.548358 frame_000872
