---,built_item_part_id,built_item_id,bp_class_to_spawn,location,rotation,scale,StaticMesh_if_not_BP
blt_house_big_stone_1_frame,"house_big_stone_1_frame","blt_house_big_stone_1","BlueprintGeneratedClass'/Game/_DJM/crafting/building/houses/BP_House_BIG_Stone_1.BP_House_BIG_Stone_1_C'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=-180.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
pole_in_ground1,"pole_in_ground1","pole_in_ground","Class'/Script/Engine.StaticMeshActor'","(X=0.000000,Y=0.000000,Z=150.000000)","(Pitch=90.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/_DJM/crafting/woodwork/SM_wood_log_oak.SM_wood_log_oak'"
blt_house_tiny_1,"blt_house_tiny_1_1","blt_house_tiny_1","BlueprintGeneratedClass'/Game/_DJM/crafting/building/houses/BP_House_Base_Tiny1.BP_House_Base_Tiny1_C'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
light_lamp_table1,"light_lamp_table1","light_lamp_table","BlueprintGeneratedClass'/Game/_DJM/Environment/lights/BP_Light_Lamp_oil_table.BP_Light_Lamp_oil_table_C'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
blt_shelter01_leanto1,"blt_shelter01_leanto1","blt_shelter01_leanto","BlueprintGeneratedClass'/Game/_DJM/Environment/outdoor_props/BP_Shelter_01_LeanTo.BP_Shelter_01_LeanTo_C'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
fence_wood1a,"fence_wood1a","fence_wood1","Class'/Script/Engine.StaticMeshActor'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/MedievalDocks/Meshes/Wood_Fence_A_mdl.Wood_Fence_A_mdl'"
fence_wood1aNS,"fence_wood1aNS","fence_wood1NS","Class'/Script/Engine.StaticMeshActor'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/MedievalDocks/Meshes/Wood_Fence_A_mdl.Wood_Fence_A_mdl'"
blt_room_kitchen1,"blt_room_kitchen1","blt_room_kitchen","BlueprintGeneratedClass'/Game/_DJM/crafting/building/houses/BP_Build_Room_Kitchen.BP_Build_Room_Kitchen_C'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
blt_room_dining1,"blt_room_dining1","blt_room_dining","BlueprintGeneratedClass'/Game/_DJM/crafting/building/houses/BP_Build_Room_Dining.BP_Build_Room_Dining_C'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
blt_house_fant_sm_1_a,"blt_house_fant_sm_1_a","blt_house_fant_sm_1","BlueprintGeneratedClass'/Game/_DJM/crafting/building/houses/BP_House_Base_Fant_Small.BP_House_Base_Fant_Small_C'","(X=0.000000,Y=0.000000,Z=75.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
blt_house_fant_med_1_a,"blt_house_fant_med_1_a","blt_house_fant_med_1","BlueprintGeneratedClass'/Game/_DJM/crafting/building/houses/BP_House_Base_Fant_Med.BP_House_Base_Fant_Med_C'","(X=0.000000,Y=0.000000,Z=75.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
farmplot10a,"farmplot10a","farm_plot_10","BlueprintGeneratedClass'/Game/_DJM/crafting/farming/BP_Farmplots_10.BP_Farmplots_10_C'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
blt_house_vik_01_sm1,"blt_house_vik_01_sm1","blt_house_vik_01_sm","BlueprintGeneratedClass'/Game/_DJM/crafting/building/houses/BP_House_Vik_01.BP_House_Vik_01_C'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
env_rock_moss_sm1,"env_rock_moss_sm1","env_rock_moss_sm1","BlueprintGeneratedClass'/Game/_DJM/Environment/floor/BP_envRck_Moss_SM1.BP_envRck_Moss_SM1_C'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
env_rock_moss_med1,"env_rock_moss_med1","env_rock_moss_med1","BlueprintGeneratedClass'/Game/_DJM/Environment/floor/BP_envRck_Moss_Med1.BP_envRck_Moss_Med1_C'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
env_rock_moss_sm2,"env_rock_moss_sm2","env_rock_moss_sm2","BlueprintGeneratedClass'/Game/_DJM/Environment/floor/BP_envRck_Moss_SM2.BP_envRck_Moss_SM2_C'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
env_rock_moss_med2,"env_rock_moss_med2","env_rock_moss_med2","BlueprintGeneratedClass'/Game/_DJM/Environment/floor/BP_envRck_Moss_Med2.BP_envRck_Moss_Med2_C'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
furn_bed_simple1,"furn_bed_simple1","furn_bed_simple","BlueprintGeneratedClass'/Game/_DJM/crafting/building/furniture/BP_Bed.BP_Bed_C'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
env_tree_fir1,"env_tree_fir1","env_tree_fir","BlueprintGeneratedClass'/Game/_DJM/Environment/trees/BP_Tree.BP_Tree_C'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
animal_chicken1,"animal_chicken1","animal_chicken","BlueprintGeneratedClass'/Game/_DJM/djmAnimals/BP_Animal_Chicken.BP_Animal_Chicken_C'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
animal_cow1,"animal_cow1","animal_cow","BlueprintGeneratedClass'/Game/_DJM/djmAnimals/BP_Animal_Cow.BP_Animal_Cow_C'","(X=0.000000,Y=0.000000,Z=90.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
animal_rat1,"animal_rat1","animal_rat","BlueprintGeneratedClass'/Game/_DJM/djmAnimals/BP_Animal_Rat.BP_Animal_Rat_C'","(X=0.000000,Y=0.000000,Z=60.000000)","(Pitch=0.000000,Yaw=30.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
animal_deer1,"animal_deer1","animal_deer","BlueprintGeneratedClass'/Game/_DJM/djmAnimals/BP_Animal_Deer.BP_Animal_Deer_C'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
animal_wolf1,"animal_wolf1","animal_wolf","BlueprintGeneratedClass'/Game/_DJM/djmAnimals/BP_Animal_Wolf.BP_Animal_Wolf_C'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=120.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
animal_frog1,"animal_frog1","animal_frog","BlueprintGeneratedClass'/Game/_DJM/djmAnimals/BP_Animal_Frog.BP_Animal_Frog_C'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=40.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
animal_cricket1,"animal_cricket1","animal_cricket","BlueprintGeneratedClass'/Game/_DJM/djmAnimals/BP_Animal_Cricket.BP_Animal_Cricket_C'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=40.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
animal_cat1,"animal_cat1","animal_cat","BlueprintGeneratedClass'/Game/_DJM/djmAnimals/BP_Animal_Cat.BP_Animal_Cat_C'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
animal_dog_beagle1,"animal_dog_beagle1","animal_dog_beagle","BlueprintGeneratedClass'/Game/_DJM/djmAnimals/BP_Animal_Dog.BP_Animal_Dog_C'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
chest_pot1,"chest_pot1","chest_pot","BlueprintGeneratedClass'/Game/_DJM/InventorySystem/Blueprints/Usables/Container_Pot.Container_Pot_C'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
chest_oak1a,"chest_oak1a","chest_oak1","BlueprintGeneratedClass'/Game/_DJM/InventorySystem/Blueprints/Usables/Container_Chest.Container_Chest_C'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
blt_farm_horse_stable1,"blt_farm_horse_stable1","blt_farm_horse_stable","BlueprintGeneratedClass'/Game/_DJM/crafting/building/houses/BP_Building_Horse_Stable.BP_Building_Horse_Stable_C'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
blt_castle_keep_sm1,"blt_castle_keep_sm1","blt_castle_keep_sm1","Class'/Script/Engine.StaticMeshActor'","(X=0.000000,Y=0.000000,Z=1000.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/_DJM/crafting/building/castle/castle_buildings/SM_castle_building_keep_small.SM_castle_building_keep_small'"
blt_castle_keep_med1,"blt_castle_keep_med1","blt_castle_keep_med1","Class'/Script/Engine.StaticMeshActor'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/_DJM/crafting/building/castle/castle_buildings/SM_castle_bld_keep_MED.SM_castle_bld_keep_MED'"
blt_castle_building_sm1,"blt_castle_building_sm1","blt_castle_building_sm1","Class'/Script/Engine.StaticMeshActor'","(X=0.000000,Y=0.000000,Z=1100.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/_DJM/crafting/building/castle/castle_buildings/SM_castle_building_small01.SM_castle_building_small01'"
blt_castle_outdoor_folly1,"blt_castle_outdoor_folly1","blt_castle_outdoor_folly1","Class'/Script/Engine.StaticMeshActor'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/_DJM/crafting/building/castle/castle_buildings/SM_castle_outdoor_folly01.SM_castle_outdoor_folly01'"
blt_castle_outdoor_gazebo01,"blt_castle_outdoor_gazebo01","blt_castle_outdoor_gazebo01","Class'/Script/Engine.StaticMeshActor'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/_DJM/crafting/building/castle/castle_buildings/SM_castle_outdoor_gazebo01.SM_castle_outdoor_gazebo01'"
blt_castle_outdoor_gazebo_long,"blt_castle_outdoor_gazebo_long","blt_castle_outdoor_gazebo_long","Class'/Script/Engine.StaticMeshActor'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/_DJM/crafting/building/castle/castle_buildings/SM_castle_outdoor_gazebo_long.SM_castle_outdoor_gazebo_long'"
part_stone_block_thick_blank,"part_stone_block_thick_blank","part_stone_block_thick_blank","Class'/Script/Engine.StaticMeshActor'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Medieval_Castle_Vol1/Meshes/SM_CF_01_Stone_Wall_Thick_01.SM_CF_01_Stone_Wall_Thick_01'"
part_stone_block_thick_arch,"part_stone_block_thick_arch","part_stone_block_thick_arch","Class'/Script/Engine.StaticMeshActor'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Medieval_Castle_Vol1/Meshes/SM_CF_01_Stone_Wall_Thick_Arch_03.SM_CF_01_Stone_Wall_Thick_Arch_03'"
part_stone_block_thick_window,"part_stone_block_thick_window","part_stone_block_thick_window","Class'/Script/Engine.StaticMeshActor'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Medieval_Castle_Vol1/Meshes/SM_CF_01_Stone_Wall_Thick_Window_03.SM_CF_01_Stone_Wall_Thick_Window_03'"
part_stone_block_thick_talus,"part_stone_block_thick_talus","part_stone_block_thick_talus","Class'/Script/Engine.StaticMeshActor'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Medieval_Castle_Vol1/Meshes/SM_CF_01_Stone_Wall_Thick_Talus_Corner_01.SM_CF_01_Stone_Wall_Thick_Talus_Corner_01'"
part_stone_block_thick_talus1,"part_stone_block_thick_talus1","part_stone_block_thick_talus1","Class'/Script/Engine.StaticMeshActor'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Medieval_Castle_Vol1/Meshes/SM_CF_01_Stone_Wall_Thick_Talus_02.SM_CF_01_Stone_Wall_Thick_Talus_02'"
part_stone_block_thick_talus_triangle,"part_stone_block_thick_talus_triangle","part_stone_block_thick_talus_triangle","Class'/Script/Engine.StaticMeshActor'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Medieval_Castle_Vol1/Meshes/SM_CF_01_Stone_Wall_Thick_Talus_Triangle_01.SM_CF_01_Stone_Wall_Thick_Talus_Triangle_01'"
part_floor_stone_square,"part_floor_stone_square","part_floor_stone_square","Class'/Script/Engine.StaticMeshActor'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Medieval_Castle_Vol1/Meshes/SM_CF_01_Stone_Floor_01.SM_CF_01_Stone_Floor_01'"
part_floor_wood_square,"part_floor_wood_square","part_floor_wood_square","Class'/Script/Engine.StaticMeshActor'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Medieval_Castle_Vol1/Meshes/SM_CF_01_Wood_Floor_01.SM_CF_01_Wood_Floor_01'"
part_stone_wall_thin_talus_corner1,"part_stone_wall_thin_talus_corner1","part_stone_wall_thin_talus_corner1","Class'/Script/Engine.StaticMeshActor'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Medieval_Castle_Vol1/Meshes/SM_CF_01_Stone_Wall_Thin_Talus_Corner_01.SM_CF_01_Stone_Wall_Thin_Talus_Corner_01'"
part_stone_wall_thin_corner_post,"part_stone_wall_thin_corner_post","part_stone_wall_thin_corner_post","Class'/Script/Engine.StaticMeshActor'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Medieval_Castle_Vol1/Meshes/SM_CF_01_Stone_Wall_Thin_Corner_01.SM_CF_01_Stone_Wall_Thin_Corner_01'"
part_stone_wall_thin,"part_stone_wall_thin","part_stone_wall_thin","Class'/Script/Engine.StaticMeshActor'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Medieval_Castle_Vol1/Meshes/SM_CF_01_Stone_Wall_Thin_02.SM_CF_01_Stone_Wall_Thin_02'"
part_castle_wall_thin_arch2,"part_castle_wall_thin_arch2","part_castle_wall_thin_arch2","Class'/Script/Engine.StaticMeshActor'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Medieval_Castle_Vol1/Meshes/SM_CF_01_Stone_Wall_Thin_Arch_02.SM_CF_01_Stone_Wall_Thin_Arch_02'"
part_castle_wall_thin_arch3,"part_castle_wall_thin_arch3","part_castle_wall_thin_arch3","Class'/Script/Engine.StaticMeshActor'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Medieval_Castle_Vol1/Meshes/SM_CF_01_Stone_Wall_Thin_Arch_03.SM_CF_01_Stone_Wall_Thin_Arch_03'"
part_wood_door_rough_left,"part_wood_door_rough_left","part_wood_door_rough_left","Class'/Script/Engine.StaticMeshActor'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Medieval_Castle_Vol1/Meshes/SM_CF_01_Wood_Door_01_Left_01.SM_CF_01_Wood_Door_01_Left_01'"
part_wood_door_rough_right,"part_wood_door_rough_right","part_wood_door_rough_right","Class'/Script/Engine.StaticMeshActor'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Medieval_Castle_Vol1/Meshes/SM_CF_01_Wood_Door_01_Right_01.SM_CF_01_Wood_Door_01_Right_01'"
part_wood_pole_thick,"part_wood_pole_thick","part_wood_pole_thick","Class'/Script/Engine.StaticMeshActor'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Medieval_Castle_Vol1/Meshes/SM_CF_01_Wood_Pillar_01.SM_CF_01_Wood_Pillar_01'"
part_wood_pole_thin,"part_wood_pole_thin","part_wood_pole_thin","Class'/Script/Engine.StaticMeshActor'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Medieval_Castle_Vol1/Meshes/SM_CF_01_Wood_Pillar_02.SM_CF_01_Wood_Pillar_02'"
part_wood_stairs_short,"part_wood_stairs_short","part_wood_stairs_short","Class'/Script/Engine.StaticMeshActor'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Medieval_Castle_Vol1/Meshes/SM_CF_01_Wood_Stairs_01.SM_CF_01_Wood_Stairs_01'"
part_stone_stairs_wide_short,"part_stone_stairs_wide_short","part_stone_stairs_wide_short","Class'/Script/Engine.StaticMeshActor'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Medieval_Castle_Vol1/Meshes/SM_CF_01_Stone_Stairs_Thick_02.SM_CF_01_Stone_Stairs_Thick_02'"
part_stone_stairs_thin_short,"part_stone_stairs_thin_short","part_stone_stairs_thin_short","Class'/Script/Engine.StaticMeshActor'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Medieval_Castle_Vol1/Meshes/SM_CF_01_Stone_Stairs_Thin_02.SM_CF_01_Stone_Stairs_Thin_02'"
part_stone_battle_slit_wall_thin,"part_stone_battle_slit_wall_thin","part_stone_battle_slit_wall_thin","Class'/Script/Engine.StaticMeshActor'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Medieval_Castle_Vol1/Meshes/SM_CF_01_Stone_Wall_Battlements_01_2m_Slit_01.SM_CF_01_Stone_Wall_Battlements_01_2m_Slit_01'"
part_stone_battle_slit_corner_thin,"part_stone_battle_slit_corner_thin","part_stone_battle_slit_corner_thin","Class'/Script/Engine.StaticMeshActor'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Medieval_Castle_Vol1/Meshes/SM_CF_01_Stone_Wall_Battlements_01_Corner_02.SM_CF_01_Stone_Wall_Battlements_01_Corner_02'"
part_stone_battle_low_thin,"part_stone_battle_low_thin","part_stone_battle_low_thin","Class'/Script/Engine.StaticMeshActor'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Medieval_Castle_Vol1/Meshes/SM_CF_01_Stone_Wall_Battlements_02.SM_CF_01_Stone_Wall_Battlements_02'"
part_stone_battle_low_corner_thin,"part_stone_battle_low_corner_thin","part_stone_battle_low_corner_thin","Class'/Script/Engine.StaticMeshActor'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Medieval_Castle_Vol1/Meshes/SM_CF_01_Stone_Wall_Battlements_02_Corner_01.SM_CF_01_Stone_Wall_Battlements_02_Corner_01'"
