---,built_item_id,Built Item Name,level_required,icon,floorplan_img,SM_foundation_for_placing,building_size
blt_house_med_wood_2,"blt_house_med_wood_2","Medium Wood House 2","10","Texture2D'/Game/_DJM/crafting/building/houses/T_img_house_med_wood_2.T_img_house_med_wood_2'","Texture2D'/Game/_DJM/crafting/building/houses/T_img_house_med_wood_2.T_img_house_med_wood_2'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
blt_house_big_wood_1,"blt_house_big_wood_1","Big Wood House 1","10","Texture2D'/Game/_DJM/crafting/building/houses/T_img_house_med_wood_2.T_img_house_med_wood_2'","Texture2D'/Game/_DJM/crafting/building/houses/T_img_house_med_wood_2.T_img_house_med_wood_2'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
blt_house_big_stone_1,"blt_house_big_stone_1","Big Stone House 1","10","Texture2D'/Game/_DJM/crafting/building/houses/T_img_house_med_wood_2.T_img_house_med_wood_2'","Texture2D'/Game/_DJM/crafting/building/houses/T_img_house_med_wood_2.T_img_house_med_wood_2'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
blt_shelter01_leanto,"blt_shelter01_leanto","Simple Lean To shelter","1","Texture2D'/Game/_DJM/Environment/outdoor_props/img_shelter_01_leanTo.img_shelter_01_leanTo'","Texture2D'/Game/_DJM/Environment/outdoor_props/img_shelter_01_leanTo.img_shelter_01_leanTo'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
blt_room_kitchen,"blt_room_kitchen","Kitchen","10","Texture2D'/Game/_DJM/crafting/building/houses/img_build_room_kitchen.img_build_room_kitchen'","Texture2D'/Game/_DJM/crafting/building/houses/img_build_room_kitchen.img_build_room_kitchen'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
blt_room_dining,"blt_room_dining","Dining Room","10","Texture2D'/Game/_DJM/crafting/building/houses/img_build_room_dining.img_build_room_dining'","Texture2D'/Game/_DJM/crafting/building/houses/img_build_room_dining.img_build_room_dining'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
blt_house_fant_sm_1,"blt_house_fant_sm_1","Small Fantasy House","10","Texture2D'/Game/_DJM/crafting/building/houses/T_img_house_fant_small.T_img_house_fant_small'","Texture2D'/Game/_DJM/crafting/building/houses/T_img_house_fant_small.T_img_house_fant_small'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
blt_house_fant_med_1,"blt_house_fant_med_1","Med Fantasy House","10","Texture2D'/Game/_DJM/crafting/building/houses/T_img_house_fant_med.T_img_house_fant_med'","Texture2D'/Game/_DJM/crafting/building/houses/T_img_house_fant_med.T_img_house_fant_med'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
light_bonfire,"light_bonfire","Bonfire","5","Texture2D'/Game/_DJM/Environment/Textures/img_env_campfire.img_env_campfire'","Texture2D'/Game/_DJM/Environment/Textures/img_env_campfire.img_env_campfire'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
farmplot10,"farmplot10","FarmPlots x10","10","Texture2D'/Game/_DJM/crafting/farming/Textures/farm_plant_fern2.farm_plant_fern2'","Texture2D'/Game/_DJM/crafting/farming/Materials/flora/Bush_D.Bush_D'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
blt_house_vik_01_sm,"blt_house_vik_01_sm","Viking House 01 - Small","10","Texture2D'/Game/_DJM/crafting/building/houses/T_img_house_vik_01_sm.T_img_house_vik_01_sm'","Texture2D'/Game/_DJM/crafting/building/houses/T_img_house_vik_01_sm.T_img_house_vik_01_sm'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
env_rock_moss_sm1,"env_rock_moss_sm1","Moss Rock - Sm01","10","Texture2D'/Game/_DJM/crafting/building/img_build_rock_moss_small1.img_build_rock_moss_small1'","Texture2D'/Game/_DJM/crafting/building/img_build_rock_moss_small1.img_build_rock_moss_small1'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
env_rock_moss_med1,"env_rock_moss_med1","Moss Rock - Med 1","10","Texture2D'/Game/_DJM/crafting/building/img_build_rock_moss_middle1.img_build_rock_moss_middle1'","Texture2D'/Game/_DJM/crafting/building/img_build_rock_moss_middle1.img_build_rock_moss_middle1'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
env_rock_moss_sm2,"env_rock_moss_sm2","Moss Rock - Sm02","10","Texture2D'/Game/_DJM/crafting/building/img_build_rock_moss_small2.img_build_rock_moss_small2'","Texture2D'/Game/_DJM/crafting/building/img_build_rock_moss_small2.img_build_rock_moss_small2'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
env_rock_moss_med2,"env_rock_moss_med2","Moss Rock - Med 2","10","Texture2D'/Game/_DJM/crafting/building/img_build_rock_moss_middle2.img_build_rock_moss_middle2'","Texture2D'/Game/_DJM/crafting/building/img_build_rock_moss_middle2.img_build_rock_moss_middle2'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
furn_bed_simple,"furn_bed_simple","Simple Bed","1","Texture2D'/Game/_DJM/InventorySystem/Items/Equipment/Textures/img_furn_bed_single.img_furn_bed_single'","Texture2D'/Game/_DJM/InventorySystem/Items/Equipment/Textures/img_furn_bed_single.img_furn_bed_single'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
env_tree_fir,"env_tree_fir","Tree - Fir","1","Texture2D'/Game/_DJM/Environment/Textures/img_tree_pine_05_grown.img_tree_pine_05_grown'","Texture2D'/Game/_DJM/Environment/Textures/img_tree_pine_05_grown.img_tree_pine_05_grown'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
animal_chicken,"animal_chicken","Chicken","10","Texture2D'/Game/_DJM/djmAnimals/Textures/img_animal_chicken.img_animal_chicken'","Texture2D'/Game/_DJM/djmAnimals/Textures/img_animal_chicken.img_animal_chicken'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
animal_cow,"animal_cow","Cow","10","Texture2D'/Game/_DJM/djmAnimals/Textures/img_animal_cow.img_animal_cow'","Texture2D'/Game/_DJM/djmAnimals/Textures/img_animal_cow.img_animal_cow'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
animal_rat,"animal_rat","Rat","10","Texture2D'/Game/_DJM/djmAnimals/Textures/img_animal_rat.img_animal_rat'","Texture2D'/Game/_DJM/djmAnimals/Textures/img_animal_rat.img_animal_rat'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
animal_deer,"animal_deer","Deer","10","Texture2D'/Game/_DJM/djmAnimals/Textures/img_animal_deer.img_animal_deer'","Texture2D'/Game/_DJM/djmAnimals/Textures/img_animal_deer.img_animal_deer'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
animal_wolf,"animal_wolf","Wolf","10","Texture2D'/Game/_DJM/djmAnimals/Textures/img_animal_wolf.img_animal_wolf'","Texture2D'/Game/_DJM/djmAnimals/Textures/img_animal_wolf.img_animal_wolf'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
animal_frog,"animal_frog","Frog","10","Texture2D'/Game/_DJM/crafting/fishing/Icons/fish_frog_icon.fish_frog_icon'","Texture2D'/Game/_DJM/crafting/fishing/Icons/fish_frog_icon.fish_frog_icon'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
animal_cricket,"animal_cricket","Cricket","10","Texture2D'/Game/_DJM/djmAnimals/Textures/img_animal_butterfly_yellow.img_animal_butterfly_yellow'","Texture2D'/Game/_DJM/djmAnimals/Textures/img_animal_butterfly_yellow.img_animal_butterfly_yellow'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
animal_cat,"animal_cat","Cat","10","Texture2D'/Game/_DJM/djmAnimals/Textures/img_animal_cat.img_animal_cat'","Texture2D'/Game/_DJM/djmAnimals/Textures/img_animal_cat.img_animal_cat'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
animal_dog_beagle,"animal_dog_beagle","Dog - Beagle","10","Texture2D'/Game/_DJM/djmAnimals/Textures/img_animal_dog_beagle.img_animal_dog_beagle'","Texture2D'/Game/_DJM/djmAnimals/Textures/img_animal_dog_beagle.img_animal_dog_beagle'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
chest_pot,"chest_pot","Storage Pot","1","Texture2D'/Game/_DJM/crafting/building/furniture/img_chest_pot.img_chest_pot'","Texture2D'/Game/_DJM/crafting/building/furniture/img_chest_pot.img_chest_pot'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
chest_oak1,"chest_oak1","Storage Chest","1","Texture2D'/Game/_DJM/crafting/building/furniture/img_chest_oak1.img_chest_oak1'","Texture2D'/Game/_DJM/crafting/building/furniture/img_chest_oak1.img_chest_oak1'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
blt_farm_horse_stable,"blt_farm_horse_stable","Horse Stable","20","Texture2D'/Game/_DJM/crafting/building/houses/T_img_build_horse_stable.T_img_build_horse_stable'","Texture2D'/Game/_DJM/crafting/building/houses/T_img_build_horse_stable.T_img_build_horse_stable'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
blt_castle_keep_sm1,"blt_castle_keep_sm1","Small Castle Keep","20","Texture2D'/Game/_DJM/crafting/building/castle/images/T_blt_castle_keep_small.T_blt_castle_keep_small'","Texture2D'/Game/_DJM/crafting/building/castle/images/T_blt_castle_keep_small.T_blt_castle_keep_small'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
blt_castle_keep_med1,"blt_castle_keep_med1","Medium Castle Keep","20","Texture2D'/Game/_DJM/crafting/building/castle/images/T_blt_castle_keep_med.T_blt_castle_keep_med'","Texture2D'/Game/_DJM/crafting/building/castle/images/T_blt_castle_keep_med.T_blt_castle_keep_med'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
blt_castle_building_sm1,"blt_castle_building_sm1","blt_castle_building_sm1","10","Texture2D'/Game/_DJM/crafting/building/castle/images/T_blt_castle_building_med01.T_blt_castle_building_med01'","Texture2D'/Game/_DJM/crafting/building/castle/images/T_blt_castle_building_med01.T_blt_castle_building_med01'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
blt_castle_outdoor_folly1,"blt_castle_outdoor_folly1","Outdoor Castle Statue base","10","Texture2D'/Game/_DJM/crafting/building/castle/images/T_blt_outdoor_folly01.T_blt_outdoor_folly01'","Texture2D'/Game/_DJM/crafting/building/castle/images/T_blt_outdoor_folly01.T_blt_outdoor_folly01'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
blt_castle_outdoor_gazebo01,"blt_castle_outdoor_gazebo01","Castle Gazebo ","10","Texture2D'/Game/_DJM/crafting/building/castle/images/T_blt_outdoor_gazebo01.T_blt_outdoor_gazebo01'","Texture2D'/Game/_DJM/crafting/building/castle/images/T_blt_outdoor_gazebo01.T_blt_outdoor_gazebo01'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
blt_castle_outdoor_gazebo_long,"blt_castle_outdoor_gazebo_long","Castle Gazebo Long","10","Texture2D'/Game/_DJM/crafting/building/castle/images/T_blt_outdoor_gazebo_long.T_blt_outdoor_gazebo_long'","Texture2D'/Game/_DJM/crafting/building/castle/images/T_blt_outdoor_gazebo_long.T_blt_outdoor_gazebo_long'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
part_stone_block_thick_blank,"part_stone_block_thick_blank","Stone Block - Thick Blank","10","Texture2D'/Game/_DJM/crafting/building/castle/images/img_part_castle_block_thick_blank.img_part_castle_block_thick_blank'","Texture2D'/Game/_DJM/crafting/building/castle/images/img_part_castle_block_thick_blank.img_part_castle_block_thick_blank'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
part_stone_block_thick_arch,"part_stone_block_thick_arch","Stone Block - Thick Arch","10","Texture2D'/Game/_DJM/crafting/building/castle/images/img_part_castle_block_thick_arch.img_part_castle_block_thick_arch'","Texture2D'/Game/_DJM/crafting/building/castle/images/img_part_castle_block_thick_arch.img_part_castle_block_thick_arch'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
part_stone_block_thick_window,"part_stone_block_thick_window","Stone Block - Thick Window","10","Texture2D'/Game/_DJM/crafting/building/castle/images/img_part_castle_block_thick_window.img_part_castle_block_thick_window'","Texture2D'/Game/_DJM/crafting/building/castle/images/img_part_castle_block_thick_window.img_part_castle_block_thick_window'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
part_stone_block_thick_talus,"part_stone_block_thick_talus","Stone Block - Thick Talus Corner","10","Texture2D'/Game/_DJM/crafting/building/castle/images/img_part_castle_block_thick_talus.img_part_castle_block_thick_talus'","Texture2D'/Game/_DJM/crafting/building/castle/images/img_part_castle_block_thick_talus.img_part_castle_block_thick_talus'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
part_stone_block_thick_talus1,"part_stone_block_thick_talus1","Stone Block - Thick Talus Edge","10","Texture2D'/Game/_DJM/crafting/building/castle/images/img_part_castle_block_thick_talus1.img_part_castle_block_thick_talus1'","Texture2D'/Game/_DJM/crafting/building/castle/images/img_part_castle_block_thick_talus1.img_part_castle_block_thick_talus1'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
part_stone_block_thick_talus_triangle,"part_stone_block_thick_talus_triangle","Stone Block - Thick Talus Triangle","10","Texture2D'/Game/_DJM/crafting/building/castle/images/img_part_castle_block_thick_talus_triangle.img_part_castle_block_thick_talus_triangle'","Texture2D'/Game/_DJM/crafting/building/castle/images/img_part_castle_block_thick_talus_triangle.img_part_castle_block_thick_talus_triangle'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
part_floor_stone_square,"part_floor_stone_square","Stone Floor - Square","10","Texture2D'/Game/_DJM/crafting/building/castle/images/img_part_stone_floor_square.img_part_stone_floor_square'","Texture2D'/Game/_DJM/crafting/building/castle/images/img_part_stone_floor_square.img_part_stone_floor_square'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
part_floor_wood_square,"part_floor_wood_square","Wood Floor - Square","10","Texture2D'/Game/_DJM/crafting/building/castle/images/img_part_wood_floor_square.img_part_wood_floor_square'","Texture2D'/Game/_DJM/crafting/building/castle/images/img_part_wood_floor_square.img_part_wood_floor_square'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
part_stone_wall_thin_talus_corner1,"part_stone_wall_thin_talus_corner1","Stone Wall - Thin Talus Corner","10","Texture2D'/Game/_DJM/crafting/building/castle/images/img_part_castle_wall_thin_talus_corner.img_part_castle_wall_thin_talus_corner'","Texture2D'/Game/_DJM/crafting/building/castle/images/img_part_castle_wall_thin_talus_corner.img_part_castle_wall_thin_talus_corner'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
part_stone_wall_thin_corner_post,"part_stone_wall_thin_corner_post","Stone Wall - Thin Corner Post","10","Texture2D'/Game/_DJM/crafting/building/castle/images/img_part_stone_wall_thin_corner_post.img_part_stone_wall_thin_corner_post'","Texture2D'/Game/_DJM/crafting/building/castle/images/img_part_stone_wall_thin_corner_post.img_part_stone_wall_thin_corner_post'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
part_stone_wall_thin,"part_stone_wall_thin","Stone Wall - Thin","10","Texture2D'/Game/_DJM/crafting/building/castle/images/img_part_stone_wall_thin.img_part_stone_wall_thin'","Texture2D'/Game/_DJM/crafting/building/castle/images/img_part_stone_wall_thin.img_part_stone_wall_thin'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
part_castle_wall_thin_arch2,"part_castle_wall_thin_arch2","Stone Wall - Thin Arch","10","Texture2D'/Game/_DJM/crafting/building/castle/images/img_part_castle_wall_thin_arch2.img_part_castle_wall_thin_arch2'","Texture2D'/Game/_DJM/crafting/building/castle/images/img_part_castle_wall_thin_arch2.img_part_castle_wall_thin_arch2'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
part_castle_wall_thin_arch3,"part_castle_wall_thin_arch3","Stone Wall - Thin Arch narrow","10","Texture2D'/Game/_DJM/crafting/building/castle/images/img_part_castle_wall_thin_arch3.img_part_castle_wall_thin_arch3'","Texture2D'/Game/_DJM/crafting/building/castle/images/img_part_castle_wall_thin_arch3.img_part_castle_wall_thin_arch3'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
part_wood_door_rough_left,"part_wood_door_rough_left","Rough Wooden Door - Left","10","Texture2D'/Game/_DJM/crafting/building/castle/images/img_part_wood_door_rough_left.img_part_wood_door_rough_left'","Texture2D'/Game/_DJM/crafting/building/castle/images/img_part_wood_door_rough_left.img_part_wood_door_rough_left'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
part_wood_door_rough_right,"part_wood_door_rough_right","Rough Wooden Door - Right","10","Texture2D'/Game/_DJM/crafting/building/castle/images/img_part_wood_door_rough_right.img_part_wood_door_rough_right'","Texture2D'/Game/_DJM/crafting/building/castle/images/img_part_wood_door_rough_right.img_part_wood_door_rough_right'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
part_wood_pole_thick,"part_wood_pole_thick","Wood Pole - Thick","10","Texture2D'/Game/_DJM/crafting/building/castle/images/img_part_wood_pole_thick.img_part_wood_pole_thick'","Texture2D'/Game/_DJM/crafting/building/castle/images/img_part_wood_pole_thick.img_part_wood_pole_thick'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
part_wood_pole_thin,"part_wood_pole_thin","Wood Pole - Thin","10","Texture2D'/Game/_DJM/crafting/building/castle/images/img_part_wood_pole_thin.img_part_wood_pole_thin'","Texture2D'/Game/_DJM/crafting/building/castle/images/img_part_wood_pole_thin.img_part_wood_pole_thin'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
part_wood_stairs_short,"part_wood_stairs_short","Wooden Stairs Short","10","Texture2D'/Game/_DJM/crafting/building/castle/images/img_part_wood_stairs_short.img_part_wood_stairs_short'","Texture2D'/Game/_DJM/crafting/building/castle/images/img_part_wood_stairs_short.img_part_wood_stairs_short'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
part_stone_stairs_wide_short,"part_stone_stairs_wide_short","Stone Stairs - Wide Short","10","Texture2D'/Game/_DJM/crafting/building/castle/images/img_part_stone_stairs_wide_short.img_part_stone_stairs_wide_short'","Texture2D'/Game/_DJM/crafting/building/castle/images/img_part_stone_stairs_wide_short.img_part_stone_stairs_wide_short'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
