---,recipe_id,recipe_name,base_time_to_build,base_cost_to_build,num_produced_per_craft,tools_or_workbench_required
food_salmon,"food_salmon","Cooked Salmon","1","0","3","(""BP_Station_Kitchen"")"
food_pike,"food_pike","Cooked Pike","1","0","2","(""BP_Station_Kitchen"")"
food_crab,"food_crab","Cooked Crab","1","0","1","(""BP_Station_Kitchen"")"
food_shark,"food_shark","Cooked Shark","1","0","10","(""BP_Station_Kitchen"")"
food_frog,"food_frog","Frog Legs","1","0","4","(""BP_Station_Kitchen"")"
food_mackerel,"food_mackerel","Cooked Mackerel","1","0","1","(""BP_Station_Kitchen"")"
food_calamari,"food_calamari","Calamari","1","0","6","(""BP_Station_Kitchen"")"
food_perch,"food_perch","Cooked Perch","1","0","1","(""BP_Station_Kitchen"")"
food_red_eye,"food_red_eye","Cooked Red Eye","1","0","1","(""BP_Station_Kitchen"")"
plant_sludge_seedlings,"plant_sludge_seedlings","Plant Sludge from Seedlings","1","0","2",""
plant_bark,"plant_bark","Plant Bark","1","0","4",""
paper,"paper","Paper","1","0","1",""
book,"book","Book","1","0","1",""
food_yeast_mushroom,"food_yeast_mushroom","Yeast","1","0","4","(""BP_Station_Kitchen"")"
food_snail_fried,"food_snail_fried","Fried Snails","1","0","1","(""BP_Station_Kitchen"")"
cloth_jute,"cloth_jute","Jute Cloth","1","0","1",""
cloth_cotton,"cloth_cotton","Cotton Cloth","1","0","1",""
Food_Veg_Corn,"Food_Veg_Corn","Picked Corn on the Cob","1","0","5",""
food_agar,"food_agar","Agar","1","0","1",""
glue_seaweed,"glue_seaweed","Glue (Seaweed based)","1","0","4",""
glue_sap,"glue_sap","Glue (Sap based)","1","0","4",""
glue_strong,"glue_strong","Glue (Strong)","1","0","1",""
kitchen_saucer,"kitchen_saucer","Kitchen Saucer","1","0","1","(""BP_Station_Pottery"")"
kitchen_plate,"kitchen_plate","Kitchen Plate","1","0","1","(""BP_Station_Pottery"")"
soil_clay,"soil_clay","Clay","1","0","1",""
fishtrap_basic,"fishtrap_basic","Fishtrap Basic","1","0","1",""
env_campfire,"env_campfire","Campfire","1","0","1",""
furn_table_alluro_oak,"furn_table_alluro_oak","Alluro Oak Table","4","4","1","(""BP_Station_Workbench"")"
Food_Bread_Muffin,"Food_Bread_Muffin","Muffin (Plain)","1","0","1","(""BP_Station_Kitchen"")"
Food_Bread_Muffin_Apple,"Food_Bread_Muffin_Apple","Muffin (Apple)","1","0","1","(""BP_Station_Kitchen"")"
food_soup_mushroom,"food_soup_mushroom","Mushroom Soup","1","0","2","(""BP_Station_Kitchen"")"
food_fish_crab_blue,"food_fish_crab_blue","Cooked Blue Crab","1","0","1","(""BP_Station_Kitchen"")"
