plant_game_name,common_name,higher_classification,family,plant_type,plant_height,leaf_size,uses,location,sunlight,water,notes
Heracleum,Cow Parsnip,Apiales,Apiaceae,flower,,,"perennial herb in the carrot family Apiaceae. They are found throughout temperate zones. Common names for the genus or its species include hogweed or cow parsnip",,,,
Hosta,Plantain lilies,Asparagales,Asparagaceae,herbaceous perennial,60,20,,,,,
HypericumPerforatum,St. John's wort,Malpighiales,Hypericaceae,flower,1000,20,effective for mild to moderate depression,,,,
Iris,Iris,Asparagales,Iridaceae,flower,,,water purification and perfume making,,,,
Knautia,Scabious,Dipsacales,Caprifoliaceae,flower,,,,,,,
LamiumAmplexicaule,Henbit Deadnettle,Lamiales,Lamiaceae,annual herb,250,30,use in salads - slightly sweet and peppery flavor similar to celery,,,,
LathyrusVernus,Spring Vetchling,Fabales,Fabaceae,herbaceous perennial,400,20,poisonous fruit seeds,,,,
Lavandula,Lavender,Lamiales,Lamiaceae,flowering plant,600,15,"Lavender buds can amplify both sweet and savory flavors in dishes and are sometimes paired with sheep's milk and goat's milk cheeses. Lavender flowers are occasionally blended with black, green, or herbal teas. Lavender flavors baked goods and desserts, pairing especially well with chocolate",,,,
Lavatera,Tree mallows,Lavatera,,perennial,2100,20,,,,,
Leonurus,Lion's Tail,Lamiales,Lamiaceae,perennial,1000,12,medicinal properties,,,,
Leucanthemum,Ox-eye daisy,Asterales,Asteraceae,flower,1300,,,,,,
Lilium,Lily,Liliales,Liliaceae,flower,1800,,Lily bulbs are starchy and edible as root vegetables although slightly bitter,,,,
LinariaVulgaris,Yellow Toadflax,Lamiales,Plantaginaceae,perennial,900,60,,,,,
Lobelia,Lobelia,Asterales,Campanulaceae,flowering plant,,,can used as tobacco (similar to nicotine),,,,
LoliumPerenne,Perennial Ryegrass,Poales,Poaceae,grass,900,,,,,,
Lupinus,Lupine,Fabales,Fabaceae,flowering plant,1500,20,"Lupins can be used to make a variety of foods both sweet and savoury, including everyday meals, traditional fermented foods, baked foods, and sauces",,,,
LythrumSalicaria,Purple Loosestrife,Myrtales,Lythraceae,flowering plant,2000,100,used as an astringent medicinal herb to treat diarrhea and dysentery,,,,
Matthiola,Stocks,Brassicales,Brassicaceae,flowering plant,280,12,,,,,
Melilotus,Sweet Clovers,Fabales,Fabaceae,legume,600,,Sweet clover is an herb. The flowering branches and leaves are used to make medicine,,,,
MenthaAquatica,Water Mint,Lamiales,Lamiaceae,flowering plant,900,6,"used to make a herbal tea, mint oil and perfume",,,,
Muskari,Grape Hyacinth,Asparagales,Asparagaceae,perennial bulbous plant,,,purple round flowers,,,,
Myosotis,Forget me not,Boraginales,Boraginaceae,flowering plant,300,10,also known as scorpion grass,,,,
Narcissus,Narcissus,Asparagales,Amaryllidaceae,flowering plant,500,,contain the alkaloid poison lycorine,,,,
Nicotiana,Tobacco plant,Solanales,Solanaceae,herbaceous plant,,,leaves can be dried and smoked in pipes,,,,
Oxalis,Wood sorrels,Oxalidales,Oxalidaceae,flowering plant,,,"used to cool skin, soothe the stomach, as a diuretic, and astringent. The plant is also useful in treating scurvy, fever, urinary tract infections, sore throats, nausea, and mouth sores",,,,
OxalisCorniculata,Creeping Woodsorrel,Oxalidales,Oxalidaceae,herbaceous plant,80,3,leaves taste like lemon and can be boiled and cooled to make a drink rich in vitamin C,,,,
PapaverBud,Poppy,Ranunculales,Papaveraceae,flower,,,,,,,
PapaverNudicaleBud,Iceland Poppy,Ranunculales,Papaveraceae,flower,60,,,,,,
PapaverNudicale,Iceland Poppy,Ranunculales,Papaveraceae,flower,,,,,,,
Papaver,Poppy,Ranunculales,Papaveraceae,flower,,,"Poppy seeds are used in baking and cooking, and poppyseed oil is used in cooking and medicine",,,,
Pelargonium,Geraniums,Geraniales,Geraniaceae,flower,,,,,,,
PersicariaLapathifolia,Pale smartweed,Caryophyllales,Polygonaceae,annual herb,800,,found by seaside,,,,
Petunia,Petunia,Solanales,Solanaceae,flowering plant,,,,,,,
PhleumPratense,Timothy,Poales,Poaceae,grass,1500,400,Great food for livestock - known as Hay,,,,
Phlox,Phlox,Ericales,Polemoniaceae,perennial,,,,,,,
Plantago,Plantain,Lamiales,Plantaginaceae,flowering plant,400,,great for cooking,,,,
PolemoniumCaeruleum,Jacob's ladder,Ericales,Polemoniaceae,perennial flowering plant,600,,"native to damp grasslands, woodlands, meadows and rocky areas in temperate areas",,,,
PolygonumHydropiper,Water Pepper,Caryophyllales,Polygonaceae,annual herb,700,,grows in damp places and shallow water - substitute for pepper,,,,
PotentillaAnserina,Silverweed,Rosales,Rosaceae,herbaceous plant,800,200,"cultivated as a food crop for its edible roots, which resemble parsnips",,,,
PotentillaArgentea,Silver cinquefoil,Rosales,Rosaceae,perennial herb,500,15,leaves can be eaten as a salad,,,,
PrunellaVulgaris,Woundwort,Lamiales,Lamiaceae,herbaceous plant,300,25,"used in salads, soups, stews, and boiled as a pot herb",,,,
Pulmonaria,Lungworts,Boraginales,Boraginaceae,flowering plant,250,30,,,,,
Pyrethum,Chrysanthemum,Asterales,Asteraceae,flower,,,insecticides,,,,
PyrolaRotundifolia,Wintergreen,Ericales,Ericaceae,flower,,,"A decoction is used in the treatment of skin diseases, as a gargle and a wash for the eyes",,,,
Ranunculus,Buttercup,Ranunculales,Ranunculaceae,flowering plant,,,found near water - poisonous ,,,,
RosaAlba,White rose of york,Rosales,Rosaceae,hybrid rose,,,,,,,
RosaRugosa,Beach rose,Rosales,Rosaceae,suckering shrub,1500,40,"have edible hips, which resemble cherry tomatoes 2-3 cm diameter",,,,
RudbeckiaLaciniata,Cutleaf Coneflower,Asterales,Asteraceae,flowering plant,3000,400,,,,,
Salvia,,,,,,,,,,,
Scilla,,,,,,,,,,,
Sedum,,,,,,,,,,,
Serratula,,,,,,,,,,,
SinapisArvensis,,,,,,,,,,,
SonchusArvensis,,,,,,,,,,,
Spiraea,,,,,,,,,,,
Stromanthe,,,,,,,,,,,
Tagetes,,,,,,,,,,,
TanacetumVulgare,,,,,,,,,,,
Taraxacum,,,,,,,,,,,
ThlaspiArvense,,,,,,,,,,,
TrifoliumPratense,,,,,,,,,,,
TrifoliumRepens,,,,,,,,,,,
Trollius,,,,,,,,,,,
Tropaeolum,,,,,,,,,,,
Tulipa,,,,,,,,,,,
TussilagoFarfara,,,,,,,,,,,
Venidium,,,,,,,,,,,
VeronicaChamaedrys,,,,,,,,,,,
VeronicaFiliformis,,,,,,,,,,,
VeronicaSpicata,,,,,,,,,,,
ViciaVillosaRouth,,,,,,,,,,,
ViolaOdorata,,,,,,,,,,,
ViolaTricolor,,,,,,,,,,,
ViscariaVulgaris,,,,,,,,,,,
Wheat,,,,,,,,,,,
ZeaMays,,,,,,,,,,,
Zinnia,,,,,,,,,,,
Blackberry,,,,,,,,,,,
Blueberry,,,,,,,,,,,
Raspberry,,,,,,,,,,,
