id,"size_X","size_Y","size_Z","radius"
"cloth_shoes_slipon_Male","42.067841","31.163858","10.545838","23.072701"
"cloth_shoes_wraps_Female","36.174759","18.978462","17.347973","20.824816"
"cloth_shoes_wraps_Male","40.342667","22.169392","20.062258","23.57089"
"cloth_vest_safety_F","45.30212","34.996468","54.9851","33.856846"
"cloth_vest_safety_M","48.118572","32.6661","54.177879","32.986195"
"crate_sm_oak","90.61216","53.894909","33.978378","55.384464"
"Currency_Gold","3.987378","3.987379","0.419795","2.004709"
"cynthias_fathers_pick","53.860863","52.694092","40.719837","29.17935"
"dirt_mound","174.147766","207.680389","26.47879","104.626122"
"Equip_Bone_Amulet","17.402122","12.063486","7.005288","9.256072"
"Equip_Leather_Backpack","29.392025","32.804352","15.535702","22.225313"
"Equip_Leather_Pouches","24.200504","18.431473","10.043716","14.802697"
"Equip_Leather_Ring","3.115845","3.112597","1.085999","1.6468"
"Equip_Spiked_Ring","3.813385","3.813414","1.085999","2.696489"
"farm_grass","46.26918","52.834404","39.122612","35.076042"
"fish_crab","32.304169","25.079746","8.224154","17.125988"
"fish_frog","31.791433","29.098827","12.267262","18.415182"
"fish_goliath","37.003468","171.030563","72.754845","85.98069"
"fish_mackeral","10.789169","51.761475","14.642385","26.473839"
"fish_octopus","78.094666","84.341682","73.663322","52.914379"
"fish_perch","17.358398","54.722878","28.253151","27.885788"
"fish_pike","9.111191","78.115448","22.40403","39.752693"
"fish_red_eye","6.321373","28.397648","13.213559","14.579064"
"fish_salmon","15.729782","64.001633","18.127899","32.691597"
"fish_shark","231.842194","506.807983","178.593872","260.456635"
"Fishing_Rod","15.675751","539.398865","15.675747","269.757965"
"Food_Apple","10.16325","9.757345","10.880816","5.930395"
"Food_Apple_Poisoned","10.16325","9.757345","10.880816","5.930395"
"food_biscuit","8.994642","9.110546","2.316651","4.772713"
"food_bread","40.129765","10.242232","6.727154","20.071331"
"food_bread_baguette","89.177277","10.242231","8.408943","44.593136"
"Food_Bread_Pizza_Slice","23.449909","20.238209","4.765658","15.562422"
"food_bread_sourdough","31.726034","30.95487","16.156826","17.228695"
"food_butter","9.721349","21.07342","9.873411","12.610292"
"food_cake","29.296898","29.2969","14.030674","15.940676"
"food_cheese","15.232989","21.073421","7.176422","13.487346"
"food_cook_batter","20.883423","20.883421","23.375496","15.38192"
"food_cook_dough_ball","32.960732","32.837048","22.956207","16.91712"
"food_cook_dough_pasta","32.960732","32.837048","22.956207","16.91712"
"food_cream","21.921314","21.921314","30.119509","18.176493"
"food_cream_sour","21.921314","21.921314","30.119509","18.176493"
"food_egg_yellow","7.621245","7.621246","9.291202","4.645657"
"Food_Fern","122.327393","117.03257","139.73761","76.681664"
"food_flour","11.893378","22.52005","37.809448","22.793415"
"food_fritz","12.793528","15.5707","3.879391","8.345802"
"Food_Fruit_Apple","10.626073","10.245129","10.135201","5.708079"
"Food_Fruit_Banana","3.535649","9.232716","16.042492","9.040697"
"Food_Fruit_Lemon","9.627251","6.808149","6.715414","4.851556"
"Food_Fruit_Mandarin","8.026976","8.162853","8.036198","4.32756"
"Food_Fruit_Peach","9.749881","9.583424","9.114166","5.275057"
"Food_Fruit_Pineapple","22.716797","21.433489","52.699909","26.835646"
"Food_Fruit_Tomato","9.13518","8.836212","7.852879","4.721635"
"Food_Fruit_Watermelon","25.956005","26.797901","28.317896","14.782664"
"Food_Hambone","34.021835","17.923431","14.118082","18.745745"
"food_milk","20.883423","20.883421","23.375496","15.38192"
"food_pancakes","18.046923","18.046923","1.926974","9.056059"
"food_salt","21.921314","21.921314","30.119509","18.176493"
"food_sandwich_cheese","27.230165","27.230165","6.733294","19.257851"
"food_sandwich_fritz","27.230165","27.230165","6.733294","19.257851"
"food_sugar","9.993815","14.125533","18.373299","12.14053"
"Food_Veg_Cabbage","21.130032","20.833923","23.639196","12.043715"
"Food_Veg_Carrot","42.597183","7.317834","6.542252","21.490311"
"Food_Veg_Cauliflower","23.668411","24.973347","16.019346","13.511511"
"Food_Veg_Corn","8.369793","31.949375","7.865853","16.00692"
"Food_Veg_Garlic","7.371593","7.416637","7.682526","4.905397"
"Food_Veg_Onion","10.209632","10.62635","10.581308","5.401181"
"Food_Veg_Potato","9.552979","20.078623","7.874495","10.120687"
"Food_Veg_Pumpkin","27.761612","27.583355","17.877216","14.257574"
"food_yeast","22.524614","22.520046","25.46545","20.389946"
"furn_bed_single","125.363655","228.470856","81.935371","136.352722"
"furn_cabinet_base_oak","71.54805","55.031811","92.459801","64.607338"
"furn_chair_cedar","65.084091","70.566803","146.081116","86.814262"
"furn_chair_oak","65.084091","70.566803","146.081116","86.814262"
"furn_chair_pine","65.084091","70.566803","146.081116","86.814262"
"furn_cupboard_oak_L","71.54805","61.979172","92.459801","66.082565"
"furn_cupboard_oak_R","71.54805","61.979164","92.459801","66.082565"
"furn_shelf_cedar","30.038818","83.818161","88.702728","62.549042"
"furn_shelf_oak","30.038818","83.818161","88.702728","62.549042"
"furn_shelf_pine","30.038818","83.818161","88.702728","62.549042"
"furn_smelter","71.54805","61.261856","92.459801","65.915131"
"furn_table_cedar","120.966599","195.379868","75.250397","115.063232"
"furn_table_oak","120.966599","195.379868","75.250397","115.063232"
"furn_table_pine","120.966599","195.379868","75.250397","115.063232"
"jar_blue","21.921314","21.921314","30.119509","18.176493"
"jar_common","21.921314","21.921314","30.119509","18.176493"
"jar_empty","21.921314","21.921314","30.119509","18.176493"
"jar_epic","21.921314","21.921314","30.119509","18.176493"
"jar_epic","21.921314","21.921314","30.119509","18.176493"
"jar_uncommon","21.921314","21.921314","30.119509","18.176493"
"kitchen_bowl","19.937342","19.937342","6.148057","10.390362"
"kitchen_plate","42.172955","42.172951","2.824602","21.124434"
"kitchen_saucer","19.937342","19.937342","1.242128","9.984199"
"Misc_Human_Skull","17.635437","25.673447","19.017309","16.020647"
"ore_copper","23.632095","24.04866","24.824583","14.325272"
"ore_iron","23.632095","24.04866","24.824583","14.325272"
"ore_gold","23.632095","24.04866","24.824583","14.325272"
"pickup_apple_basic","17.544392","17.544397","18.778414","9.706479"
"pickup_gem_orange","23.632095","24.04866","24.824583","14.325272"
"pickup_gem_red","23.632095","24.04866","24.824583","14.325272"
"pickup_gem_white","23.632095","24.04866","24.824583","14.325272"
"pickup_herb_basic","55.297813","55.235538","135.119812","68.266243"
"pickup_mushroom_basic","53.860863","52.694092","40.719837","29.17935"
"pickup_ore_basic","93.922821","132.473022","91.893524","69.968239"
"seed_blue","31.922199","16.530005","5.472633","17.868227"
"seed_green","2.197912","3.003509","3.392041","1.777011"
"seed_red","2.197912","3.003509","3.392041","1.777011"
"shell_scallop","14.038004","13.189483","2.721977","7.450363"
"Shield_Wood_Planks","41.26458","60.20916","6.247246","34.798042"
"toilet_paper","50.070618","21.706844","37.745937","29.693832"
"Tool_Axe_Basic","25.32016","5.035972","80.836266","42.075665"
"Tool_Dagger_Basic","31.378265","98.488281","6.881696","49.267853"
"Tool_Hammer_Basic","17.201073","4.429825","51.165482","26.946535"
"Tool_Hoe_Basic","19.5448","20.816395","156.679047","78.797195"
"Tool_Pickaxe_Basic","66.624855","5.333676","82.317093","42.732391"
"Tool_Saw_Basic","97.495216","18.452864","1.72407","49.070244"
"Tool_Screwdriver_Basic","25.799643","5.332988","7.719782","13.37508"
"Tool_Shovel_Basic","24.436661","6.750143","172.006439","86.022827"
"torch","6.31403","6.966275","68.513268","34.441647"
"tree_sap","21.921314","21.921314","30.119509","18.176493"
"Weapon_Bone_Dagger","15.181099","72.570992","5.434082","37.07156"
"Weapon_Bone_Sword","15.186106","93.858131","5.435873","47.539371"
"Weapon_Rifle_Assault","27.573538","79.357468","5.930917","40.546356"
"Weapon_Simple_Axe","28.489733","80.417671","7.289297","41.161644"
"wood_handle_short","3.943696","3.943697","37.030983","18.515491"
"wood_plank_cedar","42.911819","240.000015","4.00004","121.919472"
"wood_plank_oak","42.911819","240.000015","4.00004","121.919472"
"wood_plank_pine","42.911819","240.0","4.00004","121.919472"
"wood_stick_hardwood","6.220323","6.322774","62.385273","31.38681"
"wood_stick_short","6.220323","6.322774","62.385273","31.38681"
"workbench","113.692139","223.207108","252.736267","177.310226"
"kitchen_bowl_blue","31.91486","31.914864","14.080302","17.258993"
"kitchen_plate_blue","43.847424","43.847424","2.759313","21.955057"
"kitchen_platter_blue","69.085777","69.085777","8.295348","34.791012"
"cloth_chest_croptop_short_yellow","36.61721","26.774538","29.7836","24.403023"
"cloth_shoes_sneakers_M","14.859158","37.442284","27.548286","22.42609"
"build_nail","2.654598","2.654598","21.127422","10.729187"
"wood_log_cedar","317.577942","12.685915","11.446421","158.849106"
"wood_log_oak","317.577942","12.685915","11.446421","158.849106"
"wood_log_pine","317.577942","12.685915","11.446421","158.849106"
"food_salmon","15.729782","64.001633","18.127899","32.691597"
"food_pike","9.111191","78.115448","22.40403","39.752693"
"food_crab","32.304169","25.079746","8.224154","17.125988"
"food_shark","43.847424","43.847424","2.759313","21.955057"
"food_frog","31.791433","29.098827","12.267262","18.415182"
"food_mackerel","10.789169","51.761475","14.642385","26.473839"
"food_calamari","78.094666","84.341682","73.663322","52.914379"
"food_perch","17.358398","54.722878","28.253151","27.885788"
"food_red_eye","6.321373","28.397648","13.213559","14.579064"
"plant_compost","21.921314","21.921314","30.119509","18.176493"
"plant_seedling","76.075058","96.622772","89.156944","63.909065"
"plant_vine","113.166504","114.270386","7.598297","73.250488"
"plant_sludge","21.921314","21.921314","30.119509","18.176493"
"plant_leaves","15.0","15.0","2.798717","10.698514"
"plant_bark","197.191925","166.215134","163.690887","138.820465"
"plant_twigs","6.220323","6.322774","62.385273","31.38681"
"plant_sticks","121.519333","15.984326","7.707144","60.834194"
"plant_branch","6.220323","6.322774","62.385273","31.38681"
"plant_petal","10.411318","11.965236","2.277659","8.011672"
"paper","0.0","0.0","0.0","0.0"
"food_yeast_mushroom","22.524614","22.520046","25.46545","20.389946"
"food_snail_fried","43.847424","43.847424","2.759313","21.955057"
"cloth_jute","75.08548","75.085464","75.085487","37.542751"
"plant_jute","124.59877","107.024368","115.135643","66.808678"
"seed_jute","2.197912","3.003509","3.392041","1.777011"
"seed_cotton","2.197912","3.003509","3.392041","1.777011"
"plant_cotton","37.467751","45.970779","68.745872","41.595085"
"cloth_cotton","75.08548","75.085464","75.085487","37.542751"
"plant_jute_stalks","100.39756","117.158646","0.0","60.953381"
"plant_cotton_raw","100.39756","117.158646","0.0","60.953381"
"kitchen_bowl_mix","16.788626","16.788628","9.622369","9.16954"
"furn_plant_pot_bare","78.068748","61.185577","175.818298","92.444061"
"Tool_Pottery_Wheel","113.026001","141.446289","102.914948","101.517708"
"Tool_Cauldron","118.880417","121.831566","109.810303","81.650978"
"plant_seaweed","153.913788","93.668335","141.569611","105.684013"
"plant_seaweed_vine","110.452553","135.207611","437.497192","219.694839"
"sea_coral_red","145.619843","185.704391","110.001755","104.105362"
"sea_algae_large","90.649948","69.781532","53.528366","49.55978"
"sea_algae_small","66.104042","68.392303","63.191025","42.369827"
"fish_starfish","31.710308","33.004845","5.996162","18.6563"
"fish_eel","58.021084","981.643188","106.835953","491.882629"
"sea_algae_red","52.994984","61.568058","60.11454","38.485123"
"sea_sponge_small","68.666","43.187756","64.645508","39.785355"
"sea_sponge_large","117.202919","117.388062","76.226021","78.264214"
"plant_flower_AchilleaPtarmica_01","22.722643","23.279423","59.275497","30.179327"
"plant_flower_AchilleaPtarmica_02","22.722643","23.279423","59.275497","30.179327"
"plant_flower_AconitumNapellus_01","44.205986","48.297405","119.850815","60.185493"
"plant_flower_AconitumNapellus_02","44.66658","46.907658","119.803658","60.083714"
"plant_flower_AconitumNapellus_03","42.914719","45.806496","119.646225","60.370869"
"plant_flower_AconitumNapellus_04","43.749725","49.690689","119.795395","60.041893"
"plant_flower_AconitumNapellus_05","51.102207","53.318527","119.864098","60.421001"
"plant_flower_Adonis_01","38.166447","39.173714","48.822414","27.906551"
"plant_flower_Adonis_02","32.465874","33.239082","53.086685","27.618305"
"plant_flower_Adonis_03","26.367001","26.366999","41.210335","21.89097"
"plant_flower_Adonis_04","35.230316","36.418854","43.378967","25.627138"
"plant_flower_AegopodiumPodagraria_01","52.073971","40.130497","30.087605","33.482548"
"plant_flower_AegopodiumPodagraria_02","35.469307","36.805676","38.739609","25.630333"
"ore_silver","23.632095","24.04866","24.824583","14.325272"
"plant_flower_AegopodiumPodagraria_03","36.680447","32.674812","29.563456","27.064619"
"plant_flower_AegopodiumPodagraria_04","32.457401","39.281055","38.559929","25.817047"
"plant_flower_AegopodiumPodagraria_05","33.334702","27.983234","30.005747","22.634499"
"plant_flower_AegopodiumPodagraria_06","37.475941","32.634758","36.926414","28.905466"
"plant_flower_Ageratum_01","15.49787","15.497868","39.301277","21.139151"
"plant_flower_Ageratum_02","21.440639","21.440639","35.980389","19.580254"
"plant_flower_Ageratum_03","11.787423","11.436877","39.498116","20.611557"
"plant_flower_Alchemilla_01","11.787423","11.436877","39.498116","20.611557"
"plant_flower_Alchemilla_02","11.787423","11.436877","39.498116","20.611557"
"plant_flower_Alchemilla_03","11.787423","11.436877","39.498116","20.611557"
"plant_flower_Alchemilla_04","11.787423","11.436877","39.498116","20.611557"
"plant_flower_Alchemilla_05","11.787423","11.436877","39.498116","20.611557"
"plant_flower_Alchemilla_06","11.787423","11.436877","39.498116","20.611557"
"plant_flower_AlliumAmbliophyllum_01","7.0","7.419559","53.505104","27.008554"
"plant_flower_AlliumAmbliophyllum_02","7.0","15.97816","53.522144","27.928129"
"plant_flower_AlthaeaOfficinalis_01","43.818085","43.73872","97.975113","51.137188"
"plant_flower_AlthaeaOfficinalis_02","41.908504","43.842968","94.565727","49.12151"
"plant_flower_AlthaeaOfficinalis_03","46.576187","43.05999","102.778122","52.730244"
"plant_flower_AlthaeaOfficinalis_04","47.130116","45.875648","116.740959","59.056293"
"plant_flower_AlthaeaOfficinalis_05","47.054966","44.517521","115.14743","57.808273"
"plant_flower_AlthaeaOfficinalis_06","48.465363","44.993263","104.497299","56.470032"
"plant_flower_Alyssum_01","5.496852","5.963215","18.350685","9.414588"
"plant_flower_Alyssum_02","12.4172","12.443972","18.017303","10.168885"
"plant_flower_Alyssum_03","7.970385","6.489222","18.329632","9.477231"
"plant_flower_Alyssum_04","7.970385","6.489222","18.329632","9.477231"
"plant_flower_Amaranthus_01","40.368843","44.098656","95.772385","50.857098"
"plant_flower_Amaranthus_02","37.165302","40.319786","97.823074","49.727383"
"plant_flower_Amaranthus_03","38.56427","39.800201","97.4897","49.189987"
"plant_flower_AnemoneSylvestris_01","17.136402","21.386633","30.504925","16.261543"
"plant_flower_AnemoneSylvestris_02","17.136402","21.386633","30.504925","17.509279"
"plant_flower_AnemoneSylvestris_03","23.362904","23.41629","30.225117","17.886787"
"plant_flower_Anemone_01","12.24842","7.186553","18.443237","9.409545"
"plant_flower_Anemone_02","12.163092","11.007513","17.165039","8.640949"
"plant_flower_Anemone_03","9.537331","9.609111","18.487497","9.271954"
"plant_flower_Anemone_04","8.907083","10.240498","18.301931","9.23089"
"plant_flower_Antirrhinum_01","17.84552","18.318369","36.214409","18.667435"
"plant_flower_Antirrhinum_02","19.279737","18.937799","43.606812","23.088293"
"plant_flower_Antirrhinum_03","21.853958","21.853958","39.47802","20.125736"
"plant_flower_Antirrhinum_04","21.146255","17.655891","45.544365","23.737062"
"plant_flower_Antirrhinum_05","14.976704","16.488235","42.334591","21.86459"
"plant_flower_AperaSpicaVenti_01","246.172424","314.995361","111.800079","166.063553"
"plant_flower_AperaSpicaVenti_02","160.660141","129.157837","99.737053","92.261276"
"plant_flower_AperaSpicaVenti_03","75.974762","53.8647","86.31073","58.105518"
"plant_flower_ArtemisiaLudoviciana_01","12.355732","27.608208","53.601719","29.582392"
"plant_flower_ArtemisiaLudoviciana_02","9.453156","18.906029","56.083942","29.090628"
"plant_flower_ArtemisiaLudoviciana_03","26.572643","16.626122","66.802002","35.288815"
"plant_flower_ArtemisiaLudoviciana_04","17.780668","21.992531","58.561279","30.363729"
"plant_flower_ArtemisiaLudoviciana_05","20.514641","21.694508","75.928764","38.355141"
"plant_flower_Bellis_01","29.410725","32.833164","19.371094","18.412601"
"plant_flower_Bellis_02","27.074535","27.247974","19.317038","16.964483"
"plant_flower_Bellis_03","27.894012","32.943054","19.644827","17.80875"
"plant_flower_Bellis_04","28.511894","27.812134","18.900023","16.76441"
"plant_flower_Bellis_05","25.88369","28.729925","19.466749","16.214342"
"plant_flower_Bellis_06","30.708183","28.227449","18.366161","20.773743"
"plant_flower_BerberisThunbergii_01","143.232834","171.396576","44.089825","93.519966"
"plant_flower_BerberisThunbergii_02","144.683105","145.411499","57.198273","79.619614"
"plant_flower_Bergenia_01","30.527773","33.096931","20.782118","19.681633"
"plant_flower_Bergenia_02","29.230047","26.549671","17.993387","16.330284"
"plant_flower_Bergenia_03","25.458031","26.164194","19.137629","16.23741"
"plant_flower_BidensTripartita_01","16.480694","16.480696","62.093742","32.156902"
"plant_flower_BidensTripartita_02","30.52212","30.522114","52.857319","28.336906"
"plant_flower_BidensTripartita_03","22.753988","18.862059","59.752651","30.897678"
"plant_flower_Brunnera_01","45.591728","55.661369","44.55611","34.171768"
"plant_flower_Brunnera_02","54.257759","54.384537","44.387432","36.052715"
"plant_flower_Brunnera_03","52.443924","64.027786","46.680824","40.444424"
"plant_flower_Brunnera_04","67.685242","56.335258","43.635098","37.875347"
"plant_flower_CalendulaOfficinalis_01","16.144804","13.299801","39.760044","20.047224"
"plant_flower_CalendulaOfficinalis_02","11.180023","12.64197","38.267365","20.001646"
"plant_flower_CalendulaOfficinalis_03","12.018536","13.300491","40.675678","20.92161"
"plant_flower_CalendulaOfficinalis_04","10.752522","13.485685","37.633236","19.322493"
"plant_flower_CalendulaOfficinalis_05","13.096331","11.610937","38.258472","19.477791"
"plant_flower_CalendulaOfficinalis_06","11.593004","13.818632","40.073185","20.233858"
"plant_flower_CalendulaOfficinalis_07","12.719881","10.60086","39.044987","19.958765"
"plant_flower_Calibrachoa_01","15.377464","12.662811","40.485744","20.507618"
"plant_flower_Calibrachoa_02","14.141645","15.212416","39.77021","20.357483"
"plant_flower_Calibrachoa_03","11.795055","12.400612","39.713974","20.495913"
"plant_flower_Calibrachoa_04","13.618271","13.442903","39.77021","20.266447"
"plant_flower_Calibrachoa_05","15.377464","12.662811","40.485744","20.507618"
"plant_flower_Calibrachoa_06","14.141645","15.212416","39.77021","20.357483"
"plant_flower_Calibrachoa_07","11.795055","12.400612","39.713974","20.495913"
"plant_flower_Calibrachoa_08","13.618271","13.442903","39.77021","20.266447"
"plant_flower_Callistephus_01","20.648716","21.123898","50.24411","26.003351"
"plant_flower_Callistephus_02","22.082565","23.078991","50.087936","25.341187"
"plant_flower_Callistephus_03","19.840986","21.623985","50.654118","26.093452"
"plant_flower_Callistephus_04","22.615755","23.835823","50.176517","25.291458"
"plant_flower_Callistephus_05","20.46143","21.620356","50.088264","25.896379"
"plant_flower_Callistephus_06","22.291096","23.521034","50.444401","25.67979"
"plant_flower_Callistephus_07","82.208542","59.996552","90.100182","50.165699"
"plant_flower_Callistephus_08","81.858047","58.886349","90.146049","50.151836"
"plant_flower_CampanulaRapunculoides_01","21.810108","21.810108","57.739994","29.08462"
"plant_flower_Cannabis_01","76.337677","76.99366","205.360657","102.713219"
"plant_flower_Cannabis_02","85.41864","79.095482","204.284378","104.400558"
"plant_flower_Carex_01","102.620407","100.364029","81.42128","53.892658"
"plant_flower_CentaureaMontana_01","32.410141","40.385384","82.452286","43.24176"
"plant_flower_CentaureaMontana_02","34.40295","34.067764","85.171021","44.071106"
"plant_flower_CentaureaMontana_03","31.218468","23.60202","113.609825","57.179317"
"plant_flower_CentaureaMontana_04","36.63345","36.547504","95.055603","48.021591"
"plant_flower_Centaurea_01","16.91077","15.809418","44.863453","23.325201"
"plant_flower_Centaurea_02","13.876522","18.926098","44.527065","22.963642"
"plant_flower_Centaurea_03","13.876522","19.095371","44.008965","22.880161"
"plant_flower_Centaurea_04","18.313263","16.106464","43.999947","22.788048"
"plant_flower_Centaurea_05","21.099977","16.163361","44.041889","22.747959"
"plant_flower_Chelidonium_01","42.365238","48.118042","60.058884","30.606089"
"plant_flower_Chelidonium_02","37.020691","50.958748","59.923698","32.63559"
"plant_flower_Chelidonium_03","48.311462","41.556885","54.662331","30.050259"
"plant_flower_Clarkia_01","10.297842","9.484364","30.957291","15.997772"
"plant_flower_Clarkia_02","28.511051","20.462536","37.971989","20.42993"
"plant_flower_Clarkia_03","6.565956","6.633153","39.350384","19.954542"
"plant_flower_Clarkia_04","16.603771","10.748322","37.656208","20.261168"
"plant_flower_Clarkia_05","6.941195","7.378015","39.748707","20.202492"
"plant_flower_Cleome_01","43.138008","36.385342","81.386818","41.514652"
"plant_flower_Cleome_02","34.339424","43.242313","82.605545","41.912533"
"plant_flower_Cleome_03","39.620682","34.925362","84.731934","42.383915"
"plant_flower_Convallaria_01","14.12238","16.026484","20.634668","12.734589"
"plant_flower_Convallaria_02","20.46582","20.196335","20.947252","14.589195"
"plant_flower_Convallaria_03","14.713423","16.339069","20.863241","14.378921"
"plant_flower_CornusAlba_01","249.41864","231.155701","146.958786","142.099335"
"plant_flower_CornusAlba_02","293.847595","260.318451","146.599319","156.324905"
"plant_flower_CornusAlba_03","282.889282","229.090027","144.23082","151.867508"
"plant_flower_Corydalis_01","32.584091","25.7458","29.562241","21.189898"
"plant_flower_Corydalis_02","22.283184","20.945538","30.616413","17.815029"
"plant_flower_Corydalis_03","23.551081","17.928921","28.760593","15.814517"
"plant_flower_Cosmos_01","23.422758","22.887331","54.83176","27.644917"
"plant_flower_Cosmos_02","22.469879","22.498762","56.45451","28.298643"
"plant_flower_Cosmos_03","22.797476","22.969751","53.859356","27.307556"
"plant_flower_Cosmos_04","22.897511","21.883879","53.957367","27.367609"
"plant_flower_Cosmos_05","28.235882","23.959854","53.73801","28.380665"
"plant_flower_Cosmos_06","23.557348","22.029551","57.57254","29.64345"
"plant_flower_Cosmos_07","23.114965","22.31333","56.67078","28.446936"
"plant_flower_Crocus_10","7.728299","8.438541","11.854822","6.177819"
"plant_flower_Crocus_11","7.728299","8.438541","11.854822","6.177819"
"plant_flower_Crocus_12","7.728299","8.438541","11.854822","6.177819"
"plant_flower_Crocus_01","7.402032","6.97729","11.751729","6.398896"
"plant_flower_Crocus_02","7.402032","6.97729","11.751729","6.398896"
"plant_flower_Crocus_03","7.402032","6.97729","11.751729","6.398896"
"plant_flower_Crocus_04","7.501096","7.737076","11.872887","6.251907"
"plant_flower_Crocus_05","7.501096","7.737076","11.872887","6.251907"
"plant_flower_Crocus_06","7.501096","7.737076","11.872887","6.251907"
"plant_flower_Crocus_07","7.82619","8.08259","10.96517","6.197682"
"plant_flower_Crocus_08","7.82619","8.08259","10.96517","6.197682"
"plant_flower_Crocus_09","7.82619","8.08259","10.96517","6.197682"
"plant_flower_CytisusRuthenicus_01","51.717407","50.506863","89.186279","50.669884"
"plant_flower_CytisusRuthenicus_02","88.439255","88.249054","92.218384","61.703873"
"plant_flower_CytisusRuthenicus_03","153.185791","131.253448","91.159866","91.22493"
"plant_flower_Dactylis_01","73.330612","78.338181","88.643829","57.95137"
"plant_flower_Dactylis_02","295.095001","240.314056","100.060883","157.274475"
"plant_flower_Dahlia_01","125.818542","132.207397","200.393265","110.759773"
"plant_flower_Dahlia_02","132.005569","116.382874","191.84082","97.761253"
"plant_flower_Dahlia_03","108.219711","117.484856","176.227722","93.225021"
"plant_flower_Dahlia_04","120.088852","123.207626","162.646835","89.154762"
"plant_flower_Dahlia_05","118.633194","119.046066","174.178894","100.421104"
"plant_flower_Dahlia_06","118.46846","118.880928","197.41684","99.719452"
"plant_flower_Dahlia_07","120.981651","126.663094","180.763107","95.533012"
"plant_flower_Dahlia_08","126.054962","133.989105","196.291809","105.713806"
"plant_flower_Dahlia_09","108.30188","117.484604","178.883057","98.74543"
"plant_flower_Dahlia_10","120.642746","133.922699","190.064636","101.555542"
"plant_flower_Dahlia_11","121.625824","130.496735","198.76329","105.000252"
"plant_flower_Dahlia_12","121.016434","131.208298","198.076492","100.78727"
