---,level_name,spawn_id_class_name,num_items_to_spawn
town_clinton_herb,"lvl_town_clinton","HerbPickup_C","3"
town_clinton_ore,"lvl_town_clinton","BP_Pickup_Ore_C","0"
town_clinton_mushroom,"lvl_town_clinton","mushroomPickup_C","3"
town_clinton_stick,"lvl_town_clinton","WoodStickShortPickup_C","5"
town_clinton_apple,"lvl_town_clinton","ApplePickup_C","12"
town_clinton_gem_red,"lvl_town_clinton","GemPickupRed_C","1"
town_clinton_gem_organge,"lvl_town_clinton","GemPickupOrange_C","0"
town_clinton_gem_white,"lvl_town_clinton","GemPickupWhite_C","0"
town_clinton_hardwood,"lvl_town_clinton","WoodStickHardwoodPickup_C","0"
town_draeton_herb,"lvl_draeton","HerbPickup_C","20"
town_draeton_mushroom,"lvl_draeton","mushroomPickup_C","20"
garrison_apple,"lvl_garrison","ApplePickup_C","20"
garrison_mushroom,"lvl_garrison","mushroomPickup_C","20"
garrison_herb,"lvl_garrison","HerbPickup_C","30"
island_shell,"lvl_island","ShellPickupScallop_C","40"
garrison_shell,"lvl_garrison","ShellPickupScallop_C","30"
desert_scorpion,"lvl_desert","ScorpionPickup_C","90"
canyon_ore,"lvl_canyon","BP_Pickup_Ore_C","50"
canyon_mushroom,"lvl_canyon","mushroomPickup_C","20"
town_falorn_apple,"lvl_town_falorn","ApplePickup_C","20"
town_falorn_mushroom,"lvl_town_falorn","mushroomPickup_C","20"
town_falorn_herb,"lvl_town_falorn","HerbPickup_C","20"
town_falorn_gem_red,"lvl_town_falorn","GemPickupRed_C","2"
town_falorn_gem_orange,"lvl_town_falorn","GemPickupOrange_C","2"
jungle_ore,"lvl_jungle","BP_Pickup_Ore_C","10"
jungle_herb,"lvl_jungle","HerbPickup_C","20"
jungle_mushroom,"lvl_jungle","mushroomPickup_C","30"
mountain_lake_ore,"lvl_mountain_lake","BP_Pickup_Ore_C","500"
mountain_lake_gem_orange,"lvl_mountain_lake","GemPickupOrange_C","50"
mountain_lake_stick,"lvl_mountain_lake","WoodStickShortPickup_C","700"
mountain_lake_gem_red,"lvl_mountain_lake","GemPickupRed_C","200"
mountain_lake_gem_white,"lvl_mountain_lake","GemPickupWhite_C","30"
mountain_lake_herb,"lvl_mountain_lake","HerbPickup_C","200"
user_map_00_blank_ore,"user_map_00_blank","mushroomPickup_C","50"
user_map_00_blank_mushroom,"user_map_00_blank","BP_Pickup_Ore_C","50"
