item_id,drop_chance,locations_avail,water_types_avail,actor_class_for_spawning,avg_size,avg_speed,bait
fish_tropical_07,0.6,"(jungle,desert)","(river,lake)",BlueprintGeneratedClass'/Game/_DJM/crafting/fishing/Blueprints/BP_fish_tropical_07.BP_fish_tropical_07_C',3,3,"(insect,worm,fish,plant)"
fish_tropical_08,0.3,(desert),"(lake,ocean)",BlueprintGeneratedClass'/Game/_DJM/crafting/fishing/Blueprints/BP_fish_tropical_08.BP_fish_tropical_08_C',1,7,"(insect,worm,fish,plant)"
fish_tropical_09,0.8,"(desert,scrub)","(lake,ocean)",BlueprintGeneratedClass'/Game/_DJM/crafting/fishing/Blueprints/BP_fish_tropical_09.BP_fish_tropical_09_C',3,5,"(insect,worm,fish,plant)"
fish_tropical_10,0.8,"(desert,scrub)","(ocean,ocean,lake)",BlueprintGeneratedClass'/Game/_DJM/crafting/fishing/Blueprints/BP_fish_tropical_10.BP_fish_tropical_10_C',2,3,"(insect,worm,fish,plant)"
fish_tropical_11,0.6,"(desert,scrub,jungle)","(ocean,ocean,lake)",BlueprintGeneratedClass'/Game/_DJM/crafting/fishing/Blueprints/BP_fish_tropical_11.BP_fish_tropical_11_C',2,5,"(insect,worm,fish,plant)"
fish_tropical_12,0.6,"(desert,scrub,jungle)","(ocean,ocean,lake)",BlueprintGeneratedClass'/Game/_DJM/crafting/fishing/Blueprints/BP_fish_tropical_12.BP_fish_tropical_12_C',2,5,"(insect,worm,fish,plant)"
fish_tropical_13,0.6,"(desert,scrub,jungle)","(ocean,ocean,lake)",BlueprintGeneratedClass'/Game/_DJM/crafting/fishing/Blueprints/BP_fish_tropical_13.BP_fish_tropical_13_C',2,5,"(insect,worm,fish,plant)"
fish_tropical_14,0.6,"(desert,scrub,jungle)","(ocean,ocean,lake)",BlueprintGeneratedClass'/Game/_DJM/crafting/fishing/Blueprints/BP_fish_tropical_14.BP_fish_tropical_14_C',2,5,"(insect,worm,fish,plant)"
fish_tropical_15,0.6,"(desert,scrub,jungle)","(ocean,ocean,lake)",BlueprintGeneratedClass'/Game/_DJM/crafting/fishing/Blueprints/BP_fish_tropical_15.BP_fish_tropical_15_C',2,5,"(insect,worm,fish,plant)"
fish_tropical_16,0.6,"(desert,scrub,jungle)","(ocean,ocean,lake)",BlueprintGeneratedClass'/Game/_DJM/crafting/fishing/Blueprints/BP_fish_tropical_16.BP_fish_tropical_16_C',2,5,"(insect,worm,fish,plant)"
fish_tropical_17,0.2,"(desert,scrub,jungle)","(ocean,ocean,lake)",BlueprintGeneratedClass'/Game/_DJM/crafting/fishing/Blueprints/BP_fish_tropical_17.BP_fish_tropical_17_C',3,3,"(insect,worm,fish,plant)"
fish_tropical_18,0.2,"(desert,scrub,jungle)","(ocean,ocean,lake)",BlueprintGeneratedClass'/Game/_DJM/crafting/fishing/Blueprints/BP_fish_tropical_18.BP_fish_tropical_18_C',3,3,"(insect,worm,fish,plant)"
fish_tropical_19,0.2,"(desert,scrub,jungle)","(ocean,ocean,lake)",BlueprintGeneratedClass'/Game/_DJM/crafting/fishing/Blueprints/BP_fish_tropical_19.BP_fish_tropical_19_C',3,3,"(insect,worm,fish,plant)"
fish_tropical_20,0.2,"(desert,scrub,jungle)","(ocean,ocean,lake)",BlueprintGeneratedClass'/Game/_DJM/crafting/fishing/Blueprints/BP_fish_tropical_20.BP_fish_tropical_20_C',3,3,"(insect,worm,fish,plant)"
fish_tropical_21,0.2,"(desert,scrub,jungle)","(ocean,ocean,lake)",BlueprintGeneratedClass'/Game/_DJM/crafting/fishing/Blueprints/BP_fish_tropical_21.BP_fish_tropical_21_C',3,3,"(insect,worm,fish,plant)"
fish_tropical_22,0.2,"(desert,scrub,jungle)","(ocean,ocean,lake)",BlueprintGeneratedClass'/Game/_DJM/crafting/fishing/Blueprints/BP_fish_tropical_22.BP_fish_tropical_22_C',3,3,"(insect,worm,fish,plant)"
fish_tropical_23,0.2,"(desert,scrub,jungle)","(ocean,ocean,lake)",BlueprintGeneratedClass'/Game/_DJM/crafting/fishing/Blueprints/BP_fish_tropical_23.BP_fish_tropical_23_C',3,3,"(insect,worm,fish,plant)"
fish_tropical_24,0.2,"(desert,scrub,jungle)","(ocean,ocean,lake)",BlueprintGeneratedClass'/Game/_DJM/crafting/fishing/Blueprints/BP_fish_tropical_24.BP_fish_tropical_24_C',3,3,"(insect,worm,fish,plant)"
fish_tropical_25,0.2,"(desert,scrub,jungle)","(ocean,ocean,lake)",BlueprintGeneratedClass'/Game/_DJM/crafting/fishing/Blueprints/BP_fish_tropical_25.BP_fish_tropical_25_C',3,3,"(insect,worm,fish,plant)"
fish_tropical_26,0.2,"(desert,scrub,jungle)","(ocean,ocean,lake)",BlueprintGeneratedClass'/Game/_DJM/crafting/fishing/Blueprints/BP_fish_tropical_26.BP_fish_tropical_26_C',3,3,"(insect,worm,fish,plant)"
fish_tropical_27,0.2,"(desert,scrub,jungle)","(ocean,ocean,lake)",BlueprintGeneratedClass'/Game/_DJM/crafting/fishing/Blueprints/BP_fish_tropical_27.BP_fish_tropical_27_C',3,3,"(insect,worm,fish,plant)"
fish_tropical_28,0.2,"(desert,scrub,jungle)","(ocean,ocean,lake)",BlueprintGeneratedClass'/Game/_DJM/crafting/fishing/Blueprints/BP_fish_tropical_28.BP_fish_tropical_28_C',3,3,"(insect,worm,fish,plant)"
