---,level_name,location_name,spawn_id_class_name,radius,min_quant,max_quant
[BP_spawner_starfish_island],"lvl_island","island_Beach","ShellPickupStarfish_C","6000.000000","20","40"
BP_spawner_herbs_tute,"lvl_tutorial","side_Area","HerbPickup_C","1200.000000","5","7"
BP_spawner_ore_tute,"lvl_tutorial","ore_corner","BP_Pickup_Ore_C","1400.000000","5","7"
BP_spawner_mushroom_tute,"lvl_tutorial","mine_entrance","mushroomPickup_C","1400.000000","7","9"
BP_spawner_ore_falorn,"lvl_town_farlon","bridge","BP_Pickup_Ore_C","5000.000000","5","6"
BP_spawner_shell_falorn,"lvl_town_farlon","beach","ShellPickupScallop_C","5000.000000","8","10"
BP_spawner_starfish_falorn,"lvl_town_farlon","beach","ShellPickupStarfish_C","5000.000000","8","10"
[BP_spawner_ore_falorn,"lvl_town_farlon","Quarry","BP_Pickup_Ore_C","3300.000000","12","15"
lvl_jungle_shack_ore,"lvl_jungle","shack","BP_Pickup_Ore_C","2000.000000","500","500"
lvl_jungle_cave_back,"lvl_jungle","cave","BP_Pickup_Ore_C","2000.000000","500","500"
BP_spawner_doctade_farm_apple,"lvl_doctade","farm_orchid","ApplePickup_C","2000.000000","40","50"
