---,level_name,location_name,X,Y,Z,biome
lvl_jungle_lake,"lvl_jungle","lake","15732.000000","6910.000000","-2225.000000","jungle"
lvl_jungle_shack,"lvl_jungle","shack","-14658.000000","-4463.000000","-910.000000","jungle"
lvl_jungle_cave_back,"lvl_jungle","cave","-8228.000000","1343.000000","-904.000000","jungle"
lvl_mountain_lake_back,"lvl_mountain_lake","jungle_track","37211.000000","-99399.000000","7074.000000","mountain"
lvl_mountain_lake_forest,"lvl_mountain_lake","forest","-33544.000000","-124352.000000","1640.000000","forest"
lvl_mountain_lake_hideout,"lvl_mountain_lake","keep","-78410.000000","-57984.000000","18733.000000","mountain"
lvl_mountain_lake_canal,"lvl_mountain_lake","lake","-24631.000000","-51562.000000","920.000000","mountain"
lvl_mountain_lake_town,"lvl_mountain_lake","town","-28663.000000","-16530.000000","579.000000","HUMAN_BUILT"
lvl_mountain_lake_cave,"lvl_mountain_lake","cave","-7920.000000","21447.000000","6443.000000","mountain"
lvl_mountain_lake_farm,"lvl_mountain_lake","farm","-70760.000000","30176.000000","2936.000000","HUMAN_BUILT"
lvl_mountain_lake_alps,"lvl_mountain_lake","alps","-78787.000000","130131.000000","13371.000000","mountain"
lvl_mountain_lake_snow,"lvl_mountain_lake","snow","-177783.000000","171601.000000","33663.000000","tundra"
lvl_mountain_lake_moonwell,"lvl_mountain_lake","moonwell","-35610.000000","27076.000000","417.000000","woods"
lvl_mountain_lake_shack,"lvl_mountain_lake","shack","-14649.000000","-49397.000000","164.000000","mountain"
user_map_00_blank_gate,"user_map_00_blank","gate","-8809.000000","-291.000000","100.000000","forest"
user_map_00_blank_mid,"user_map_00_blank","midpoint","-2256.000000","-23.000000","150.000000","forest"
lvl_draeton_keep,"lvl_draeton","keep","1934.000000","-4394.000000","3472.000000","HUMAN_BUILT"
lvl_doctade_farm_orchid,"lvl_doctade","farm_orchid","-7420.000000","-16400.000000","970.000000","woods"
